variant,step,original_row_id,loss_total,loss_classifier,loss_box_reg,loss_centerness,learning_rate,global_gradient_norm,reliability_scorer_gradient_norm,active_gradient_parameter_count,rgb_weight,ir_weight,event_weight,weight_sum_error,fusion_entropy,dominance_fraction,ir_theta_max_abs_deviation,ir_determinant_mean,ir_grid_oob_fraction,event_theta_max_abs_deviation,event_determinant_mean,event_grid_oob_fraction,finite,cuda_allocated_bytes,cuda_reserved_bytes,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,step_time_sec
alignment_on_reliability_superset,1,train:00006249,2.820970296859741,1.154724359512329,1.0,0.6662459969520569,0.0001,21.10689026278732,0.048982233992395555,6645011,0.3333333432674408,0.3333333432674408,0.3333333432674408,0.0,1.0986123085021973,0.3333333432674408,0.0,1.0,0.0,0.0,1.0,0.0,True,130645504,329252864,0.024331099999926664,0.14090119999991657,0.15194049999990966,0.346885100000236,0.6669471999998677
alignment_on_reliability_superset,2,train:00020601,2.985637664794922,1.1532450914382935,1.1392878293991089,0.6931048035621643,0.0001,114.9596604639514,0.2919921066632381,6645011,0.33341047167778015,0.33329686522483826,0.333292692899704,0.0,1.0986123085021973,0.33341047167778015,0.0012703414540737867,1.0025405883789062,0.0,0.0012905597686767578,0.9974222183227539,0.0,True,130645504,394264576,0.05107709999992949,0.11566959999981918,0.14315620000024865,0.30674569999973755,0.5910976999998638
alignment_on_reliability_superset,3,train:00026508,0.029302198439836502,0.029302198439836502,0.0,0.0,0.0001,1.462768945651826,0.00014315014201003837,6645011,0.33338138461112976,0.33332937955856323,0.3332892060279846,5.960464477539063e-08,1.0986123085021973,0.33338138461112976,0.0026018619537353516,1.0049339532852173,0.0,0.0025820350274443626,0.997657299041748,0.0,True,130645504,394264576,0.016404200000124547,0.09817100000009304,0.11924859999999171,0.2792003999998087,0.5145974000001843
alignment_on_reliability_superset,4,train:00028488,2.84153413772583,1.0499036312103271,1.098825454711914,0.6928050518035889,0.0001,48.865909105334445,0.13218819622757422,6645011,0.3333522379398346,0.33336445689201355,0.33328330516815186,0.0,1.0986123085021973,0.33336445689201355,0.00356137752532959,1.0066570043563843,0.0,0.0035026625264436007,0.9979031085968018,0.0,True,130645504,394264576,0.017085800000131712,0.07470210000019506,0.11146869999993214,0.28417810000019017,0.4894816000000901
alignment_on_reliability_superset,5,train:00011701,0.03832889348268509,0.03832889348268509,0.0,0.0,0.0001,2.2163913240692934,0.00012634821457235753,6645011,0.33335745334625244,0.333385705947876,0.3332568407058716,0.0,1.0986123085021973,0.333385705947876,0.004485011100769043,1.0081827640533447,0.0,0.004223847761750221,0.998023509979248,0.0,True,130645504,394264576,0.013677699999789183,0.08173429999988002,0.1001694999999927,0.31109310000010737,0.5086640999998053
alignment_on_reliability_superset,6,train:00005808,2.7158803939819336,1.0422954559326172,1.0,0.6735849380493164,0.0001,12.908640627659947,0.010543760305773833,6645011,0.333364337682724,0.33340030908584595,0.33323538303375244,0.0,1.0986123085021973,0.33340030908584595,0.0053637027740478516,1.0096590518951416,0.0,0.0047482387162745,0.998146653175354,0.0,True,130645504,394264576,0.01651110000011613,0.10399340000003576,0.12415980000014315,0.33876779999991413,0.5856719000003068
alignment_on_reliability_superset,7,train:00017015,2.6390838623046875,0.9447907209396362,1.0,0.6942932605743408,0.0001,31.259907023235197,0.03560182556219477,6645011,0.3333677649497986,0.33341193199157715,0.3332202732563019,0.0,1.0986123085021973,0.33341193199157715,0.006397128105163574,1.0112979412078857,0.0026562500279396772,0.005443754605948925,0.9980506896972656,0.0,True,130645504,396361728,0.01839689999997063,0.09750780000013037,0.10744620000014038,0.2662563999997474,0.4915472999996382
alignment_on_reliability_superset,8,train:00005711,2.6705148220062256,0.9379702806472778,1.0,0.7325445413589478,0.0001,12.951700660937172,0.017556431454400362,6645011,0.33337655663490295,0.3334173262119293,0.3332061469554901,0.0,1.0986123085021973,0.3334173262119293,0.007251739501953125,1.0127246379852295,0.0037499999161809683,0.005711005534976721,0.9979799389839172,0.0,True,130645504,396361728,0.01489190000029339,0.07639080000035392,0.10390929999994114,0.2680372999998326,0.4654279999999744
alignment_on_reliability_superset,9,train:00006561,2.6482200622558594,0.9736495018005371,1.0,0.6745705604553223,0.0001,11.17361711424357,0.007469170945714969,6645011,0.3333854079246521,0.33342239260673523,0.33319219946861267,0.0,1.0986121892929077,0.33342239260673523,0.008134961128234863,1.0141371488571167,0.004687499720603228,0.0061263153329491615,0.9977875351905823,0.0,True,130645504,396361728,0.018656499999906373,0.07691169999998237,0.11240159999988464,0.2901965000000928,0.5000233999999182
alignment_on_reliability_superset,10,train:00010359,2.506943702697754,0.8302316665649414,1.0,0.676711916923523,0.0001,16.457868629079574,0.03499034481977757,6645011,0.3333914577960968,0.3334290087223053,0.3331795036792755,0.0,1.0986121892929077,0.3334290087223053,0.008962035179138184,1.0153207778930664,0.0053125000558793545,0.006396715994924307,0.9977323412895203,0.0,True,130645504,396361728,0.025193100000251434,0.09716939999998431,0.11812010000039663,0.27500549999967916,0.5173555999999735
