variant,step,original_row_id,loss_total,loss_classifier,loss_box_reg,loss_centerness,learning_rate,global_gradient_norm,ir_alignment_gradient_norm,event_alignment_gradient_norm,ir_theta_max_abs_deviation,ir_determinant_mean,ir_grid_oob_fraction,event_theta_max_abs_deviation,event_determinant_mean,event_grid_oob_fraction,finite,cuda_allocated_bytes,cuda_reserved_bytes,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,step_time_sec
alignment_off_equal,1,train:00006249,2.76811146736145,1.09676194190979,1.0,0.6713495254516602,0.0001,13.970281112553767,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120923648,325058560,0.05908210000000125,0.8887327000000003,0.33327300000000015,0.39160719999999927,1.6745827000000002
alignment_off_equal,2,train:00020601,2.9875833988189697,1.0601742267608643,1.2279412746429443,0.6994678974151611,0.0001,73.13144065595009,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.06831460000000078,0.09380250000000068,0.12825370000000014,0.2852072000000003,0.5610594000000013
alignment_off_equal,3,train:00026508,0.03159622102975845,0.03159622102975845,0.0,0.0,0.0001,1.5965872674169128,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.0376512999999985,0.08085900000000024,0.09188690000000044,0.2631996999999995,0.4765920999999995
alignment_off_equal,4,train:00028488,2.646864414215088,0.9988555312156677,0.9947507381439209,0.6532580852508545,0.0001,15.57352368276444,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.048840199999999,0.08769459999999896,0.0706579000000005,0.2698917999999999,0.4841645999999997
alignment_off_equal,5,train:00011701,0.04225694388151169,0.04225694388151169,0.0,0.0,0.0001,2.4498861423069664,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.05440040000000046,0.09315630000000041,0.11890720000000066,0.2847761999999996,0.5546187000000007
alignment_off_equal,6,train:00005808,2.607208728790283,0.962900698184967,1.0,0.6443079710006714,0.0001,11.920515736157842,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.0451366999999987,0.09991739999999893,0.09315790000000135,0.2880895999999993,0.5282714999999989
alignment_off_equal,7,train:00017015,2.6559479236602783,0.9608014822006226,0.9870373010635376,0.7081091403961182,0.0001,39.65810070962582,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.04597300000000004,0.08835890000000113,0.1216905999999991,0.28429539999999953,0.542126399999999
alignment_off_equal,8,train:00005711,2.6679110527038574,0.9175692200660706,0.9954003691673279,0.7549415230751038,0.0001,14.577877918063137,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.048739499999999936,0.08942560000000022,0.10675860000000092,0.2734129999999997,0.5199785000000006
alignment_off_equal,9,train:00006561,2.609945774078369,0.9487501382827759,1.0,0.661195695400238,0.0001,7.709653132379577,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.04960389999999926,0.09686790000000123,0.12703369999999836,0.3035507000000006,0.5789770999999995
alignment_off_equal,10,train:00010359,2.835258960723877,0.8493852615356445,1.2940497398376465,0.6918238401412964,0.0001,38.912626341454086,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.05187229999999943,0.10331579999999896,0.1011690999999999,0.27782410000000013,0.5365780999999998
alignment_off_equal,11,train:00020938,2.652946949005127,0.8911221027374268,1.0728806257247925,0.6889442801475525,0.0001,62.29644261885225,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.06066830000000145,0.0834899999999994,0.09020940000000088,0.28502209999999906,0.5081717999999995
alignment_off_equal,12,train:00017395,0.22656944394111633,0.22656944394111633,0.0,0.0,0.0001,17.10179915810674,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.03583040000000004,0.07012519999999967,0.10704890000000056,0.2715830999999991,0.48697830000000053
alignment_off_equal,13,train:00016029,0.2404194474220276,0.2404194474220276,0.0,0.0,0.0001,19.329302792963883,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.06532040000000094,0.057500000000000995,0.10188360000000074,0.2790013999999985,0.5059045999999991
alignment_off_equal,14,train:00019870,2.5546798706054688,0.8411988615989685,1.0322513580322266,0.6812295317649841,0.0001,23.325207048481726,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.061354800000000154,0.08360089999999687,0.10504540000000162,0.27216100000000054,0.5235133000000012
alignment_off_equal,15,train:00024793,2.6872823238372803,1.0090358257293701,0.9780145883560181,0.7002319097518921,0.0001,27.854343776238363,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.03691930000000099,0.07983560000000267,0.10793160000000057,0.30249609999999905,0.5299998000000024
alignment_off_equal,16,train:00024693,2.6791038513183594,0.9625041484832764,0.985814094543457,0.7307854890823364,0.0001,13.403406563922811,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.04462459999999879,0.08512490000000028,0.10213170000000105,0.2906887999999981,0.5247783000000013
alignment_off_equal,17,train:00034122,2.7613799571990967,0.8702670335769653,1.1691495180130005,0.7219634652137756,0.0001,53.196606430163726,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.041057200000000904,0.07873070000000126,0.09135900000000063,0.26509829999999823,0.4778275999999977
alignment_off_equal,18,train:00012078,2.6193294525146484,0.9716929793357849,0.9436834454536438,0.7039530277252197,0.0001,16.747222946519543,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.030647099999999483,0.07780440000000155,0.0993764999999982,0.2771098000000016,0.48883659999999907
alignment_off_equal,19,train:00030696,2.4870967864990234,0.8615428805351257,0.9270351529121399,0.6985187530517578,0.0001,56.97823446429585,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.03691710000000015,0.0741183999999997,0.09689110000000056,0.26095009999999874,0.46977199999999897
alignment_off_equal,20,train:00013586,0.06307269632816315,0.06307269632816315,0.0,0.0,0.0001,4.226546868774327,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.03873390000000043,0.09290830000000128,0.09941470000000052,0.26318979999999925,0.49621799999999894
alignment_off_equal,21,train:00034932,2.661576509475708,0.9476178884506226,1.038527011871338,0.6754316687583923,0.0001,21.31153097073393,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.04510850000000133,0.09005090000000138,0.10238109999999878,0.2939850000000028,0.5349725000000021
alignment_off_equal,22,train:00006464,2.5536818504333496,0.8785470128059387,0.9867330193519592,0.6884017586708069,0.0001,9.001530406564429,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.03909909999999783,0.06617699999999971,0.12297700000000233,0.2808068999999982,0.5122333999999995
alignment_off_equal,23,train:00009701,2.9174931049346924,1.0615582466125488,1.1728196144104004,0.6831152439117432,0.0001,44.66082749816311,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.046183600000002656,0.07505869999999959,0.10537539999999979,0.29378329999999764,0.5226435999999985
alignment_off_equal,24,train:00011236,2.4443514347076416,0.8814918398857117,0.89337557554245,0.6694839596748352,0.0001,21.29157874619119,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.04621760000000208,0.07831730000000192,0.10142540000000011,0.26876129999999776,0.5016464999999997
alignment_off_equal,25,train:00003532,0.06082520633935928,0.06082520633935928,0.0,0.0,0.0001,4.409941465717135,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.04905860000000217,0.0981115999999993,0.09351310000000268,0.276601399999997,0.519025199999998
alignment_off_equal,26,train:00015144,2.408372640609741,0.8371355533599854,0.846419632434845,0.7248175740242004,0.0001,177.27764496565257,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.04176780000000235,0.08450540000000117,0.09912439999999734,0.27618380000000187,0.5028396999999991
alignment_off_equal,27,train:00033916,2.5614399909973145,0.993195116519928,0.8801581263542175,0.6880866885185242,0.0001,45.6784667002315,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.04776389999999964,0.07614410000000049,0.10759720000000073,0.28281810000000007,0.5168132000000014
alignment_off_equal,28,train:00024238,2.548145294189453,0.9125204086303711,0.9064000844955444,0.7292247414588928,0.0001,29.038069181218194,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.04776939999999996,0.0761131000000006,0.09920870000000193,0.27603369999999927,0.5013147000000018
alignment_off_equal,29,train:00012123,0.07805124670267105,0.07805124670267105,0.0,0.0,0.0001,5.917719520659127,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,True,120661504,367001600,0.02887929999999983,0.07269029999999788,0.10007069999999985,0.27915120000000115,0.48492350000000073
