model,parameters,detector_gflops,detector_latency_ms,hardware,batch_size,image_size,precision
matched_early,6591609,105.21,22.89,RTX_3090,1,640,FP32
reliability_aware,6593293,105.98,23.30,RTX_3090,1,640,FP32
