Mode,Precision,Recall,AP50,AP75,GT boxes,Predictions,Mean Confidence
full,0.026534116583822865,0.994579945799458,0.9603855013847351,0.8881215453147888,5904,221300,0.17374341110695932
no_rgb,0.026457297785811115,0.99170054200542,0.908394455909729,0.7479444146156311,5904,221300,0.20180382617723602
no_thermal,0.02447356529597831,0.9173441734417345,0.7066850066184998,0.4015817642211914,5904,221300,0.23326518396224524
no_event,0.026525079078174425,0.9942411924119241,0.9594763517379761,0.8784834742546082,5904,221300,0.17671785373127924
rgb_only,0.024432896520560327,0.915819783197832,0.7068525552749634,0.4028528928756714,5904,221300,0.23684306783982925
thermal_only,0.025576140985088116,0.9586720867208672,0.7754999399185181,0.5591753721237183,5904,221300,0.20388182386486606
event_only,0.014283777677361048,0.5353997289972899,0.2586073875427246,0.1435757279396057,5904,221300,0.28925286241862175
