model,seed,best_epoch,checkpoint_sha256,AP,AP50,AP75,AR100,TP,FP,FN,P,R
early,0,40,9d902a3855038748a0211f77e20d53d5b6e1683ecead81939b8e601ff15eb4ef,0.2016230452844583,0.5037061339251411,0.10157424997524386,0.3405485813801611,7299,3252,6482,0.6917827694057436,0.5296422610841013
reliability_rgbt,0,2,0fe926080aebd95bbe949de630519710621eb476088a52480a2052a661b98fca,0.24289090511951347,0.562737332453589,0.151682536484015,0.38953631811914957,9406,14587,4375,0.3920310090443046,0.682533923517887
early,1,30,bb16dcebca18d598646d10e54bf9bc1375a51c92c0d925e181db1615036fea58,0.1996247571656283,0.4733150168377317,0.12719600862295857,0.33459110369349104,6970,3472,6811,0.6674966481516951,0.5057688121326464
reliability_rgbt,1,26,9f186ad7b76b77517a999fc6e097aa87c9ad66298204654cabccac4a7610787b,0.22045291758719432,0.5387093357043172,0.12877818296682433,0.3630578332486757,7498,2648,6283,0.7390104474669821,0.5440824323343734
early,2,40,5e87e68aaf0d3666d27b9eabc9a8c5cbac18267b7116ce354fa095f9cb5fcac5,0.22738157342080254,0.5313256175127367,0.14288384804510287,0.36942166751324285,7281,2645,6500,0.733528107999194,0.5283361149408606
reliability_rgbt,2,47,896f90680b02804aaea846edeac287966e5eb6ecd238ff6dc09ce83e613c46b1,0.25054713324179245,0.5585417837116504,0.17494785298437182,0.3851462158043683,6785,1845,6996,0.7862108922363847,0.49234453232711706
