model,metric,mean,sample_std
early,AP,0.20954312529029637,0.01548082564432638
early,AP50,0.5027822560918698,0.029016333509884206
early,AP75,0.12388470221443511,0.020852920317587925
early,AR100,0.348187117528965,0.018629344322141046
early,P,0.6976025085188775,0.033398210205139306
early,R,0.5212490627192028,0.013422187716755065
reliability_rgbt,AP,0.23796365198283342,0.015640454647197998
reliability_rgbt,AP50,0.5533294839565189,0.012834025420683966
reliability_rgbt,AP75,0.15180285747840372,0.023085070180499212
reliability_rgbt,AR100,0.37924678905739784,0.014190840962259121
reliability_rgbt,P,0.6390841162492238,0.21525194268882064
reliability_rgbt,R,0.5729869627264591,0.09833414990871273
