START train/early_moddrop_seed1 2026-07-11T11:18:52+08:00
COMMAND C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\train_early_fusion.py --model early --data D:\download\triair --train-split E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_train.txt --val-split E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt --epochs 50 --batch-size 4 --img-size 640 --device cuda --lr 1e-4 --num-workers 0 --modality-dropout 0.15 --seed 1 --out E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed1
Using device: cuda
requested_seed: 1
deterministic_algorithms: warn_only
cudnn_deterministic: True
cudnn_benchmark: False
=== TriAirDataset Summary ===
data_root: D:\download\triair
image_dir: D:\download\triair\data\images
label_dir: D:\download\triair\data\labels
split_file: E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_train.txt
mode: rgbte
channels: (0, 1, 2, 3, 4)
total images: 7439
images with label txt: 7011
images without label txt: 428
empty label txt files: 1
total boxes: 22480
class distribution:
  class 0: 22480
=== TriAirDataset Summary ===
data_root: D:\download\triair
image_dir: D:\download\triair\data\images
label_dir: D:\download\triair\data\labels
split_file: E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt
mode: rgbte
channels: (0, 1, 2, 3, 4)
total images: 2213
images with label txt: 1971
images without label txt: 242
empty label txt files: 0
total boxes: 5867
class distribution:
  class 0: 5867
train samples: 7439
val samples: 2213
params: 6591609
gflops: skipped (no project-compatible detector GFLOPs helper wired yet)
total train iterations per epoch: 1860
epoch 1/50 iter 660/1860 loss=1.2083 mean_loss=1.5277 classification=0.2975, bbox_regression=0.2907, bbox_ctrness=0.6200
epoch 1/50 iter 680/1860 loss=1.3184 mean_loss=1.5220 classification=0.3487, bbox_regression=0.3342, bbox_ctrness=0.6355
epoch 1/50 iter 700/1860 loss=1.4537 mean_loss=1.5159 classification=0.3878, bbox_regression=0.4350, bbox_ctrness=0.6309
epoch 1/50 iter 720/1860 loss=1.3860 mean_loss=1.5101 classification=0.4419, bbox_regression=0.3300, bbox_ctrness=0.6141
epoch 1/50 iter 740/1860 loss=1.5930 mean_loss=1.5039 classification=0.5045, bbox_regression=0.4191, bbox_ctrness=0.6693
epoch 1/50 iter 760/1860 loss=1.3822 mean_loss=1.4989 classification=0.3445, bbox_regression=0.3733, bbox_ctrness=0.6644
epoch 1/50 iter 780/1860 loss=1.3737 mean_loss=1.4934 classification=0.3949, bbox_regression=0.3394, bbox_ctrness=0.6394
epoch 1/50 iter 800/1860 loss=1.2486 mean_loss=1.4891 classification=0.3217, bbox_regression=0.3083, bbox_ctrness=0.6187
epoch 1/50 iter 820/1860 loss=1.1085 mean_loss=1.4837 classification=0.2502, bbox_regression=0.2440, bbox_ctrness=0.6143
epoch 1/50 iter 840/1860 loss=1.3108 mean_loss=1.4789 classification=0.3631, bbox_regression=0.3173, bbox_ctrness=0.6304
epoch 1/50 iter 860/1860 loss=1.2947 mean_loss=1.4742 classification=0.3026, bbox_regression=0.3422, bbox_ctrness=0.6499
epoch 1/50 iter 880/1860 loss=1.3382 mean_loss=1.4707 classification=0.3673, bbox_regression=0.3410, bbox_ctrness=0.6300
epoch 1/50 iter 900/1860 loss=1.3734 mean_loss=1.4667 classification=0.3505, bbox_regression=0.3788, bbox_ctrness=0.6441
epoch 1/50 iter 920/1860 loss=1.1387 mean_loss=1.4610 classification=0.2509, bbox_regression=0.2688, bbox_ctrness=0.6190
epoch 1/50 iter 940/1860 loss=1.1818 mean_loss=1.4554 classification=0.2608, bbox_regression=0.2861, bbox_ctrness=0.6350
epoch 1/50 iter 960/1860 loss=1.0491 mean_loss=1.4510 classification=0.2181, bbox_regression=0.2144, bbox_ctrness=0.6166
epoch 1/50 iter 980/1860 loss=1.2170 mean_loss=1.4462 classification=0.3408, bbox_regression=0.2509, bbox_ctrness=0.6254
epoch 1/50 iter 1000/1860 loss=1.3069 mean_loss=1.4425 classification=0.3498, bbox_regression=0.3383, bbox_ctrness=0.6188
epoch 1/50 iter 1020/1860 loss=1.2275 mean_loss=1.4397 classification=0.3049, bbox_regression=0.2792, bbox_ctrness=0.6434
epoch 1/50 iter 1040/1860 loss=1.5174 mean_loss=1.4363 classification=0.4376, bbox_regression=0.4552, bbox_ctrness=0.6245
epoch 1/50 iter 1060/1860 loss=1.1033 mean_loss=1.4320 classification=0.2443, bbox_regression=0.2202, bbox_ctrness=0.6389
epoch 1/50 iter 1080/1860 loss=1.1454 mean_loss=1.4287 classification=0.3024, bbox_regression=0.2256, bbox_ctrness=0.6174
epoch 1/50 iter 1100/1860 loss=1.2376 mean_loss=1.4261 classification=0.3489, bbox_regression=0.2682, bbox_ctrness=0.6205
epoch 1/50 iter 1120/1860 loss=1.1609 mean_loss=1.4221 classification=0.2655, bbox_regression=0.2662, bbox_ctrness=0.6292
epoch 1/50 iter 1140/1860 loss=1.1405 mean_loss=1.4189 classification=0.2429, bbox_regression=0.2697, bbox_ctrness=0.6279
epoch 1/50 iter 1160/1860 loss=1.2479 mean_loss=1.4146 classification=0.3546, bbox_regression=0.2514, bbox_ctrness=0.6419
epoch 1/50 iter 1180/1860 loss=1.3710 mean_loss=1.4106 classification=0.4735, bbox_regression=0.2867, bbox_ctrness=0.6107
epoch 1/50 iter 1200/1860 loss=1.1363 mean_loss=1.4078 classification=0.2637, bbox_regression=0.2453, bbox_ctrness=0.6273
epoch 1/50 iter 1220/1860 loss=1.0776 mean_loss=1.4046 classification=0.2243, bbox_regression=0.2238, bbox_ctrness=0.6295
epoch 1/50 iter 1240/1860 loss=1.0860 mean_loss=1.4007 classification=0.2545, bbox_regression=0.2267, bbox_ctrness=0.6048
epoch 1/50 iter 1260/1860 loss=1.0449 mean_loss=1.3968 classification=0.1884, bbox_regression=0.2334, bbox_ctrness=0.6232
epoch 1/50 iter 1280/1860 loss=1.3406 mean_loss=1.3934 classification=0.3569, bbox_regression=0.3591, bbox_ctrness=0.6246
epoch 1/50 iter 1300/1860 loss=1.4805 mean_loss=1.3899 classification=0.4385, bbox_regression=0.3820, bbox_ctrness=0.6601
epoch 1/50 iter 1320/1860 loss=1.3963 mean_loss=1.3864 classification=0.4463, bbox_regression=0.3290, bbox_ctrness=0.6209
epoch 1/50 iter 1340/1860 loss=0.9503 mean_loss=1.3837 classification=0.1673, bbox_regression=0.1672, bbox_ctrness=0.6158
epoch 1/50 iter 1360/1860 loss=1.2537 mean_loss=1.3808 classification=0.3251, bbox_regression=0.3056, bbox_ctrness=0.6230
epoch 1/50 iter 1380/1860 loss=1.1137 mean_loss=1.3784 classification=0.2580, bbox_regression=0.2387, bbox_ctrness=0.6170
epoch 1/50 iter 1400/1860 loss=1.0628 mean_loss=1.3760 classification=0.2751, bbox_regression=0.1753, bbox_ctrness=0.6124
epoch 1/50 iter 1420/1860 loss=1.4099 mean_loss=1.3732 classification=0.4371, bbox_regression=0.3359, bbox_ctrness=0.6369
epoch 1/50 iter 1440/1860 loss=1.0810 mean_loss=1.3703 classification=0.2348, bbox_regression=0.2346, bbox_ctrness=0.6116
epoch 1/50 iter 1460/1860 loss=1.2675 mean_loss=1.3677 classification=0.3163, bbox_regression=0.3253, bbox_ctrness=0.6259
epoch 1/50 iter 1480/1860 loss=1.0855 mean_loss=1.3647 classification=0.2333, bbox_regression=0.2282, bbox_ctrness=0.6239
epoch 1/50 iter 1500/1860 loss=1.0405 mean_loss=1.3619 classification=0.2127, bbox_regression=0.2192, bbox_ctrness=0.6085
epoch 1/50 iter 1520/1860 loss=0.9854 mean_loss=1.3598 classification=0.1830, bbox_regression=0.1819, bbox_ctrness=0.6205
epoch 1/50 iter 1540/1860 loss=1.1274 mean_loss=1.3574 classification=0.2406, bbox_regression=0.2526, bbox_ctrness=0.6341
epoch 1/50 iter 1560/1860 loss=1.0761 mean_loss=1.3549 classification=0.2424, bbox_regression=0.2273, bbox_ctrness=0.6064
epoch 1/50 iter 1580/1860 loss=1.2514 mean_loss=1.3522 classification=0.3129, bbox_regression=0.2914, bbox_ctrness=0.6472
epoch 1/50 iter 1600/1860 loss=1.0613 mean_loss=1.3492 classification=0.2378, bbox_regression=0.2146, bbox_ctrness=0.6089
epoch 1/50 iter 1620/1860 loss=1.0652 mean_loss=1.3459 classification=0.2271, bbox_regression=0.2030, bbox_ctrness=0.6352
epoch 1/50 iter 1640/1860 loss=1.1143 mean_loss=1.3441 classification=0.2749, bbox_regression=0.2216, bbox_ctrness=0.6179
epoch 1/50 iter 1660/1860 loss=1.1744 mean_loss=1.3412 classification=0.2212, bbox_regression=0.3126, bbox_ctrness=0.6405
epoch 1/50 iter 1680/1860 loss=1.2893 mean_loss=1.3387 classification=0.3454, bbox_regression=0.3074, bbox_ctrness=0.6364
epoch 1/50 iter 1700/1860 loss=1.1244 mean_loss=1.3370 classification=0.2820, bbox_regression=0.2326, bbox_ctrness=0.6099
epoch 1/50 iter 1720/1860 loss=1.0836 mean_loss=1.3349 classification=0.2371, bbox_regression=0.2240, bbox_ctrness=0.6225
epoch 1/50 iter 1740/1860 loss=1.1008 mean_loss=1.3325 classification=0.2780, bbox_regression=0.2072, bbox_ctrness=0.6156
epoch 1/50 iter 1760/1860 loss=1.0238 mean_loss=1.3300 classification=0.2073, bbox_regression=0.2184, bbox_ctrness=0.5980
epoch 1/50 iter 1780/1860 loss=1.3230 mean_loss=1.3284 classification=0.3974, bbox_regression=0.2948, bbox_ctrness=0.6308
epoch 1/50 iter 1800/1860 loss=1.1133 mean_loss=1.3265 classification=0.2684, bbox_regression=0.2126, bbox_ctrness=0.6324
epoch 1/50 iter 1820/1860 loss=1.2215 mean_loss=1.3242 classification=0.3128, bbox_regression=0.2697, bbox_ctrness=0.6390
epoch 1/50 iter 1840/1860 loss=1.0731 mean_loss=1.3218 classification=0.2273, bbox_regression=0.2223, bbox_ctrness=0.6234
epoch 1/50 iter 1860/1860 loss=1.0274 mean_loss=1.3197 classification=0.1804, bbox_regression=0.2254, bbox_ctrness=0.6216
epoch 1 validation Precision=0.0469 Recall=0.9802 AP50=0.8631 AP75=0.4549 eval_fps=10.60 epoch_time_sec=976.8
saved checkpoint: E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed1\weights\last.pt
new best AP50=0.8631; saved checkpoint: E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed1\weights\best.pt
epoch 2/50 iter 1/1860 loss=0.9791 mean_loss=0.9791 classification=0.1819, bbox_regression=0.1825, bbox_ctrness=0.6147
epoch 2/50 iter 20/1860 loss=1.1468 mean_loss=1.0829 classification=0.2712, bbox_regression=0.2527, bbox_ctrness=0.6230
epoch 2/50 iter 40/1860 loss=1.1051 mean_loss=1.1101 classification=0.2652, bbox_regression=0.2257, bbox_ctrness=0.6141
epoch 2/50 iter 60/1860 loss=1.0412 mean_loss=1.1063 classification=0.2123, bbox_regression=0.2204, bbox_ctrness=0.6085
epoch 2/50 iter 80/1860 loss=1.2127 mean_loss=1.1063 classification=0.3469, bbox_regression=0.2369, bbox_ctrness=0.6289
epoch 2/50 iter 100/1860 loss=1.1708 mean_loss=1.0943 classification=0.2854, bbox_regression=0.2656, bbox_ctrness=0.6198
epoch 2/50 iter 120/1860 loss=0.9973 mean_loss=1.0914 classification=0.2236, bbox_regression=0.1627, bbox_ctrness=0.6110
epoch 2/50 iter 140/1860 loss=1.3255 mean_loss=1.0959 classification=0.3621, bbox_regression=0.3229, bbox_ctrness=0.6406
epoch 2/50 iter 160/1860 loss=1.1982 mean_loss=1.0992 classification=0.3108, bbox_regression=0.2677, bbox_ctrness=0.6197
epoch 2/50 iter 180/1860 loss=1.0176 mean_loss=1.1059 classification=0.2340, bbox_regression=0.1822, bbox_ctrness=0.6014
epoch 2/50 iter 200/1860 loss=1.1733 mean_loss=1.1076 classification=0.2779, bbox_regression=0.2827, bbox_ctrness=0.6128
epoch 2/50 iter 220/1860 loss=1.0329 mean_loss=1.1081 classification=0.1924, bbox_regression=0.2249, bbox_ctrness=0.6156
epoch 2/50 iter 240/1860 loss=1.0187 mean_loss=1.1094 classification=0.2258, bbox_regression=0.1860, bbox_ctrness=0.6070
epoch 2/50 iter 260/1860 loss=0.9542 mean_loss=1.1114 classification=0.1530, bbox_regression=0.1739, bbox_ctrness=0.6274
epoch 2/50 iter 280/1860 loss=0.9980 mean_loss=1.1089 classification=0.1758, bbox_regression=0.2027, bbox_ctrness=0.6195
epoch 2/50 iter 300/1860 loss=1.3806 mean_loss=1.1087 classification=0.4806, bbox_regression=0.2826, bbox_ctrness=0.6173
epoch 2/50 iter 320/1860 loss=0.9263 mean_loss=1.1037 classification=0.1715, bbox_regression=0.1631, bbox_ctrness=0.5918
