variant,step,original_row_id,target_box_count,valid_target_count,matched_anchor_count,loss_total,loss_classifier,loss_box_reg,loss_centerness,learning_rate,global_gradient_norm,bbox_weight_gradient_norm,bbox_bias_gradient_norm,bbox_gradient_nonzero_fraction,bbox_bias_0,bbox_bias_1,bbox_bias_2,bbox_bias_3,finite,cuda_allocated_bytes,cuda_reserved_bytes,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,step_time_sec
v57_equal_control_instrumented,1,train:00006249,2,2,2,2.820970296859741,1.154724359512329,1.0,0.6662459969520569,0.0001,21.106833426786203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,187892224,396361728,0.06635169999999846,0.090674700000001,0.07301209999999969,0.339302,0.5724020999999997
v57_equal_control_instrumented,2,train:00020601,3,3,1,2.9856491088867188,1.1531858444213867,1.1393556594848633,0.693107545375824,0.0001,114.44765147789875,23.85279719616006,1.185133934020996,0.12272333353757858,0.0,-7.44136850698851e-05,0.0,0.0,True,244314624,507510784,6.249754499999998,0.05551589999999962,0.051577999999999236,0.16909760000000063,0.3184062999999995
v57_equal_control_instrumented,3,train:00026508,2,2,0,0.02929900586605072,0.02929900586605072,0.0,0.0,0.0001,1.4630959175548461,0.0,0.0,0.0,0.0,-0.00013193566701374948,0.0,0.0,True,302391808,574619648,4.052192699999999,0.047701299999999947,0.04791580000000195,0.1453957999999993,0.27570730000000054
v57_equal_control_instrumented,4,train:00028488,3,3,4,2.840782880783081,1.0498892068862915,1.0982270240783691,0.6926667094230652,0.0001,44.39563458159733,11.559305584565058,0.39099180698394775,0.16370338201522827,0.0,-0.0001790541864465922,0.0,-5.8112833357881755e-05,True,302195200,574619648,0.03639120000000062,0.04493670000000094,0.047103100000001064,0.1552289999999985,0.2844775999999989
v57_equal_control_instrumented,5,train:00011701,3,3,0,0.03837547451257706,0.03837547451257706,0.0,0.0,0.0001,2.221689839667278,0.0,0.0,0.0,0.0,-0.0002188800717703998,0.0,-0.00010723143350332975,True,302195200,574619648,0.04416469999999961,0.0398512999999987,0.048974400000002305,0.1573607999999993,0.2911044000000018
v57_equal_control_instrumented,6,train:00005808,2,2,2,2.714509963989258,1.0426757335662842,1.0,0.6718341112136841,0.0001,11.924998853675405,0.0,0.0,0.0,0.0,-0.00025320483837276697,0.0,-0.0001495652977610007,True,188269056,463470592,4.4141169,0.05057940000000016,0.05380139999999756,0.1538224000000028,0.300043500000001
v57_equal_control_instrumented,7,train:00017015,2,2,1,2.637144088745117,0.9430740475654602,1.0,0.694070041179657,0.0001,32.44984089219321,0.0,0.0,0.0,0.0,-0.00028318079421296716,0.0,-0.00018653564620763063,True,188269056,463470592,0.05301809999999563,0.04268859999999819,0.04848619999999926,0.1595109000000008,0.30455909999999875
v57_equal_control_instrumented,8,train:00005711,3,3,13,2.6688926219940186,0.936591386795044,1.0,0.7323012351989746,0.0001,14.345019699780961,0.0,0.0,0.0,0.0,-0.00030960640287958086,0.0,-0.00021912723605055362,True,188269056,463470592,0.05484560000000016,0.04742040000000003,0.04931909999999817,0.15457380000000143,0.3069849999999974
v57_equal_control_instrumented,9,train:00006561,3,3,5,2.6451339721679688,0.9705330729484558,1.0,0.6746007800102234,0.0001,9.437872027347096,0.0,0.0,0.0,0.0,-0.0003330653707962483,0.0,-0.00024805995053611696,True,188269056,463470592,0.05472189999999699,0.049853099999999984,0.05128829999999596,0.15981700000000387,0.3164718000000022
v57_equal_control_instrumented,10,train:00010359,3,3,3,2.502063274383545,0.8258751630783081,1.0,0.6761881709098816,0.0001,14.950508086721236,0.0,0.0,0.0,0.0,-0.0003540019679348916,0.0,-0.0002738817420322448,True,188269056,463470592,0.04687409999999659,0.04390680000000202,0.055385600000001034,0.1508706999999987,0.29837260000000043
v57_equal_control_instrumented,11,train:00020938,2,2,2,2.503082513809204,0.8253952264785767,1.0,0.6776872873306274,0.0001,16.22668307621569,0.0,0.0,0.0,0.0,-0.000372765091015026,0.0,-0.0002970229252241552,True,244773376,513802240,4.148726699999997,0.06489410000000362,0.05959559999999442,0.16753230000000485,0.3448035000000047
v57_equal_control_instrumented,12,train:00017395,1,1,0,0.1832505762577057,0.1832505762577057,0.0,0.0,0.0001,13.47112072012844,0.0,0.0,0.0,0.0,-0.00038963567931205034,0.0,-0.00031782998121343553,True,244773376,513802240,0.03958989999999574,0.05165290000000056,0.05530960000000107,0.16635389999999717,0.31390859999999776
