START train/ra_stems_project_seed2 2026-07-13T01:31:37+08:00
COMMAND C:\Users\xinnan\.conda\envs\pytorch\python.exe E:\RepViT-main\rarepdet\train_early_fusion.py --model ra_stems_project --data D:\download\triair --train-split E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_train.txt --val-split E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt --epochs 50 --batch-size 4 --img-size 640 --device cuda --lr 1e-4 --num-workers 0 --modality-dropout 0.00 --seed 2 --out E:\RepViT-main\runs\v48_complete_ablation\training\ra_stems_project_seed2
Using device: cuda
requested_seed: 2
deterministic_algorithms: warn_only
cudnn_deterministic: True
cudnn_benchmark: False
=== TriAirDataset Summary ===
data_root: D:\download\triair
image_dir: D:\download\triair\data\images
label_dir: D:\download\triair\data\labels
split_file: E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_train.txt
mode: rgbte
channels: (0, 1, 2, 3, 4)
total images: 7439
images with label txt: 7011
images without label txt: 428
empty label txt files: 1
total boxes: 22480
class distribution:
  class 0: 22480
=== TriAirDataset Summary ===
data_root: D:\download\triair
image_dir: D:\download\triair\data\images
label_dir: D:\download\triair\data\labels
split_file: E:\RepViT-main\reproducibility\v40_expanded_adjacency_component_split_v2\manifests\v40_expanded_adjacency_component_disjoint_val.txt
mode: rgbte
channels: (0, 1, 2, 3, 4)
total images: 2213
images with label txt: 1971
images without label txt: 242
empty label txt files: 0
total boxes: 5867
class distribution:
  class 0: 5867
train samples: 7439
val samples: 2213
params: 6593242
gflops: skipped (no project-compatible detector GFLOPs helper wired yet)
total train iterations per epoch: 1860
epoch 1/50 iter 660/1860 loss=1.1302 mean_loss=1.4475 classification=0.2454, bbox_regression=0.2781, bbox_ctrness=0.6067
epoch 1/50 iter 680/1860 loss=1.2235 mean_loss=1.4399 classification=0.3334, bbox_regression=0.2692, bbox_ctrness=0.6209
epoch 1/50 iter 700/1860 loss=1.1365 mean_loss=1.4324 classification=0.2435, bbox_regression=0.2603, bbox_ctrness=0.6326
epoch 1/50 iter 720/1860 loss=1.1944 mean_loss=1.4259 classification=0.2936, bbox_regression=0.2772, bbox_ctrness=0.6236
epoch 1/50 iter 740/1860 loss=1.2722 mean_loss=1.4192 classification=0.3269, bbox_regression=0.3082, bbox_ctrness=0.6371
epoch 1/50 iter 760/1860 loss=1.1425 mean_loss=1.4121 classification=0.2237, bbox_regression=0.2855, bbox_ctrness=0.6333
epoch 1/50 iter 780/1860 loss=1.2359 mean_loss=1.4057 classification=0.3475, bbox_regression=0.2706, bbox_ctrness=0.6178
epoch 1/50 iter 800/1860 loss=1.1368 mean_loss=1.3990 classification=0.2821, bbox_regression=0.2461, bbox_ctrness=0.6087
epoch 1/50 iter 820/1860 loss=1.0660 mean_loss=1.3931 classification=0.2058, bbox_regression=0.2292, bbox_ctrness=0.6310
epoch 1/50 iter 840/1860 loss=1.0430 mean_loss=1.3880 classification=0.2297, bbox_regression=0.2047, bbox_ctrness=0.6086
epoch 1/50 iter 860/1860 loss=1.1581 mean_loss=1.3830 classification=0.2522, bbox_regression=0.2774, bbox_ctrness=0.6285
epoch 1/50 iter 880/1860 loss=1.2277 mean_loss=1.3782 classification=0.3055, bbox_regression=0.2832, bbox_ctrness=0.6389
epoch 1/50 iter 900/1860 loss=1.1563 mean_loss=1.3737 classification=0.2246, bbox_regression=0.3090, bbox_ctrness=0.6227
epoch 1/50 iter 920/1860 loss=1.0538 mean_loss=1.3686 classification=0.1965, bbox_regression=0.2342, bbox_ctrness=0.6230
epoch 1/50 iter 940/1860 loss=1.2706 mean_loss=1.3635 classification=0.3444, bbox_regression=0.3011, bbox_ctrness=0.6251
epoch 1/50 iter 960/1860 loss=1.1139 mean_loss=1.3584 classification=0.2599, bbox_regression=0.2248, bbox_ctrness=0.6292
epoch 1/50 iter 980/1860 loss=1.0622 mean_loss=1.3542 classification=0.2265, bbox_regression=0.2027, bbox_ctrness=0.6329
epoch 1/50 iter 1000/1860 loss=1.1506 mean_loss=1.3498 classification=0.2444, bbox_regression=0.2824, bbox_ctrness=0.6238
epoch 1/50 iter 1020/1860 loss=1.1457 mean_loss=1.3457 classification=0.2584, bbox_regression=0.2611, bbox_ctrness=0.6262
epoch 1/50 iter 1040/1860 loss=1.2352 mean_loss=1.3411 classification=0.3263, bbox_regression=0.2796, bbox_ctrness=0.6293
epoch 1/50 iter 1060/1860 loss=1.1169 mean_loss=1.3366 classification=0.2626, bbox_regression=0.2491, bbox_ctrness=0.6052
epoch 1/50 iter 1080/1860 loss=1.1046 mean_loss=1.3328 classification=0.2278, bbox_regression=0.2576, bbox_ctrness=0.6192
epoch 1/50 iter 1100/1860 loss=1.0201 mean_loss=1.3290 classification=0.1918, bbox_regression=0.2068, bbox_ctrness=0.6215
epoch 1/50 iter 1120/1860 loss=1.1676 mean_loss=1.3258 classification=0.2572, bbox_regression=0.2819, bbox_ctrness=0.6284
epoch 1/50 iter 1140/1860 loss=1.0363 mean_loss=1.3215 classification=0.2044, bbox_regression=0.2266, bbox_ctrness=0.6053
epoch 1/50 iter 1160/1860 loss=1.0234 mean_loss=1.3176 classification=0.2005, bbox_regression=0.2211, bbox_ctrness=0.6018
epoch 1/50 iter 1180/1860 loss=1.1892 mean_loss=1.3141 classification=0.2759, bbox_regression=0.2848, bbox_ctrness=0.6285
epoch 1/50 iter 1200/1860 loss=0.9526 mean_loss=1.3098 classification=0.1437, bbox_regression=0.1933, bbox_ctrness=0.6157
epoch 1/50 iter 1220/1860 loss=1.0241 mean_loss=1.3061 classification=0.2239, bbox_regression=0.1994, bbox_ctrness=0.6008
epoch 1/50 iter 1240/1860 loss=1.1921 mean_loss=1.3031 classification=0.3144, bbox_regression=0.2499, bbox_ctrness=0.6278
epoch 1/50 iter 1260/1860 loss=1.1747 mean_loss=1.2994 classification=0.2279, bbox_regression=0.3147, bbox_ctrness=0.6321
epoch 1/50 iter 1280/1860 loss=0.9673 mean_loss=1.2954 classification=0.1630, bbox_regression=0.1932, bbox_ctrness=0.6111
epoch 1/50 iter 1300/1860 loss=1.0050 mean_loss=1.2922 classification=0.2086, bbox_regression=0.1966, bbox_ctrness=0.5998
epoch 1/50 iter 1320/1860 loss=0.9771 mean_loss=1.2887 classification=0.1626, bbox_regression=0.1960, bbox_ctrness=0.6185
epoch 1/50 iter 1340/1860 loss=0.9426 mean_loss=1.2856 classification=0.1698, bbox_regression=0.1514, bbox_ctrness=0.6215
epoch 1/50 iter 1360/1860 loss=1.2183 mean_loss=1.2827 classification=0.3018, bbox_regression=0.2794, bbox_ctrness=0.6371
epoch 1/50 iter 1380/1860 loss=1.0762 mean_loss=1.2795 classification=0.2284, bbox_regression=0.2260, bbox_ctrness=0.6218
epoch 1/50 iter 1400/1860 loss=0.9949 mean_loss=1.2760 classification=0.1982, bbox_regression=0.1940, bbox_ctrness=0.6027
epoch 1/50 iter 1420/1860 loss=1.3136 mean_loss=1.2731 classification=0.3991, bbox_regression=0.2983, bbox_ctrness=0.6162
epoch 1/50 iter 1440/1860 loss=0.9149 mean_loss=1.2707 classification=0.1580, bbox_regression=0.1366, bbox_ctrness=0.6202
epoch 1/50 iter 1460/1860 loss=0.9776 mean_loss=1.2674 classification=0.2197, bbox_regression=0.1590, bbox_ctrness=0.5989
epoch 1/50 iter 1480/1860 loss=1.1115 mean_loss=1.2641 classification=0.2441, bbox_regression=0.2592, bbox_ctrness=0.6083
epoch 1/50 iter 1500/1860 loss=0.9909 mean_loss=1.2615 classification=0.1861, bbox_regression=0.1956, bbox_ctrness=0.6092
epoch 1/50 iter 1520/1860 loss=1.0696 mean_loss=1.2586 classification=0.2345, bbox_regression=0.2233, bbox_ctrness=0.6118
epoch 1/50 iter 1540/1860 loss=1.0311 mean_loss=1.2556 classification=0.2047, bbox_regression=0.2152, bbox_ctrness=0.6112
epoch 1/50 iter 1560/1860 loss=0.9759 mean_loss=1.2530 classification=0.1411, bbox_regression=0.2094, bbox_ctrness=0.6254
epoch 1/50 iter 1580/1860 loss=1.0460 mean_loss=1.2504 classification=0.1954, bbox_regression=0.2202, bbox_ctrness=0.6305
