resample_index,matched_early_ap50,reliability_p015_ap50,diff_reliability_minus_early_ap50,matched_early_ap75,reliability_p015_ap75,diff_reliability_minus_early_ap75,matched_early_f1,reliability_p015_f1,diff_reliability_minus_early_f1
1,0.9399268306787969,0.9592964298748335,0.019369599196036646,0.816617646608294,0.8749827243727997,0.058365077764505724,0.8930535389613191,0.913577175291528,0.020523636330208928
2,0.9382505097894509,0.9572641629079981,0.01901365311854719,0.8188487465591876,0.8737184465475045,0.05486969998831692,0.8925316797763746,0.9128745472764974,0.02034286750012282
3,0.9423093698194263,0.9591047612345779,0.016795391415151628,0.8211180443185456,0.8766536999543819,0.05553565563583629,0.8962628663149255,0.9134621344687669,0.01719926815384143
4,0.9396891480395613,0.9580390379084498,0.018349889868888525,0.814185538999259,0.8706801186280437,0.05649457962878468,0.8949090985494733,0.9125960722586357,0.01768697370916239
5,0.9401500264215588,0.9574517186709508,0.017301692249392042,0.8252669685057781,0.8756995652623912,0.05043259675661316,0.8953374768236135,0.9100033248817136,0.014665848058100117
6,0.935400819253708,0.952377993636844,0.01697717438313595,0.8191869249161079,0.8757463920564026,0.056559467140294695,0.8901309249521254,0.9084137655620296,0.01828284060990415
7,0.9421894926557707,0.9594629405189722,0.017273447863201508,0.8308601054087295,0.8806932869010536,0.049833181492324186,0.8938579322932138,0.914315821118721,0.020457888825507253
8,0.9399926190400936,0.9570604049258415,0.017067785885747977,0.8186617662324436,0.8734216908277761,0.05475992459533252,0.8941667111788212,0.9136592636136148,0.019492552434793642
9,0.9401522362434731,0.9584866634988012,0.01833442725532808,0.8099437638945786,0.8681339037895894,0.05819013989501087,0.8923030061432553,0.912763783251118,0.02046077710786265
10,0.9387070920778158,0.956762528399385,0.01805543632156925,0.8122710640771783,0.8691504008580986,0.056879336780920275,0.8924323245097299,0.9103102394758904,0.017877914966160535
11,0.9422953145212056,0.9585815705088285,0.0162862559876229,0.8250374992120527,0.8793546931599878,0.054317193947935105,0.8948867785761465,0.9108108807201218,0.015924102143975327
12,0.9446764792338841,0.9605574103232695,0.015880931089385375,0.8155842977161397,0.8717372848019087,0.05615298708576899,0.897469626740899,0.9166672395435278,0.019197612802628772
13,0.941826242202269,0.960047716457987,0.018221474255718073,0.8186610518608157,0.8765915883774354,0.057930536516619724,0.8987886909046546,0.917393605409913,0.018604914505258363
14,0.9411050190270591,0.9581267607970048,0.017021741769945642,0.8166607425957217,0.8724395008341388,0.05577875823841705,0.8941322954053141,0.9125127572198889,0.018380461814574756
15,0.9388929880829742,0.9577258799184272,0.018832891835453003,0.8139904108183833,0.8736106935565383,0.059620282738155006,0.8896141383043181,0.9117016878032277,0.022087549498909564
16,0.9391018974461546,0.9572788316370711,0.018176934190916483,0.8141429002095114,0.8733792826201979,0.05923638241068652,0.8920223658099873,0.9110486009323381,0.0190262351223508
17,0.9419707815692817,0.9601688582788028,0.018198076709521116,0.828286450167719,0.880814948084759,0.05252849791704006,0.898409686956576,0.9167579222475224,0.018348235290946424
18,0.9436342248079693,0.9597980904689332,0.01616386566096384,0.8237919479357227,0.8766042136712879,0.05281226573556519,0.8989324511516181,0.9134592547780691,0.01452680362645098
19,0.942288700624143,0.9605066096592272,0.018217909035084134,0.8237752621819985,0.878835172020819,0.055059909838820476,0.8966078418636876,0.916364593971544,0.019756752107856435
20,0.9398946310654344,0.9596192117224431,0.019724580657008772,0.8120180733743521,0.8724214955394446,0.060403422165092535,0.893236470310132,0.9109444962584977,0.017708025948365735
21,0.9397762119827462,0.9551487511985127,0.015372539215766534,0.8158650593380387,0.868926206826704,0.053061147488665306,0.8919969761082949,0.9101596858146666,0.018162709706371682
22,0.9400355335120865,0.956660534906959,0.01662500139487255,0.8242406735914963,0.8803526635215637,0.056111989930067385,0.8966161961722809,0.915416643894263,0.018800447721982083
23,0.9413852621356287,0.9587908022072326,0.017405540071603887,0.8257638049719721,0.8712370525019308,0.04547324752995874,0.8907629496362346,0.9097546047335756,0.01899165509734102
24,0.9404151595392286,0.9575669173238852,0.017151757784656607,0.8109234310967733,0.8710688594676794,0.060145428370906084,0.8922934937521807,0.9113640928782192,0.01907059912603848
