protocol,seed,early_ap50_95,ra_ap50_95,delta_ap50_95,early_ap50,ra_ap50,delta_ap50,early_ap75,ra_ap75,delta_ap75,early_ar100,ra_ar100,delta_ar100,early_ap_small,ra_ap_small,delta_ap_small,early_ap_medium,ra_ap_medium,delta_ap_medium,early_ap_large,ra_ap_large,delta_ap_large
devval,0,0.0015385809600734247,0.008114672509934119,0.006576091549860694,0.005015346514309718,0.018877247132675676,0.013861900618365959,0.0009900990099009901,0.009973358951625017,0.008983259941724026,0.01884389671361502,0.02927816901408451,0.010434272300469491,6.975813101602777e-05,0.0036303630363036304,0.0035606049052876025,0.003749612324920909,0.01157691138010152,0.007827299055180611,0.009414893285517138,0.04219922487195438,0.03278433158643724
devval,1,0.0014715818089528878,0.0056819696799471145,0.004210387870994227,0.005487942444722377,0.012639295814705064,0.007151353369982687,0.0008572738096717227,0.0049504950495049506,0.004093221239833228,0.024800469483568077,0.022048122065727697,-0.002752347417840379,0.0004331683168316832,0.00017852667908176893,-0.00025464163774991424,0.004306832303569292,0.005171757777193217,0.0008649254736239247,0.008925092103970455,0.01688036529471345,0.007955273190742995
devval,2,0.006837887111112439,0.0032657380259435496,-0.003572149085168889,0.01378830026185125,0.008506663229096155,-0.005281637032755096,0.0099009900990099,0.0018564356435643563,-0.008044554455445543,0.02436619718309859,0.019219483568075117,-0.005146713615023474,7.70917224322709e-05,0.00052005200520052,0.00044296028276824914,0.00283358762604566,0.0051597884157332215,0.0023262007896875615,0.018036706900163506,0.016378349573937113,-0.0016583573262263923
test,0,0.0008969703389803633,0.006409853582493033,0.00551288324351267,0.002097158630538511,0.010958971873374862,0.008861813242836351,0.0010422094841063053,0.0099009900990099,0.008858780614903593,0.010293073724774362,0.015835108001216916,0.005542034276442554,6.925350069253501e-05,0.0015735502121640734,0.0015042967114715384,0.004186089440927691,0.006632730370175549,0.0024466409292478583,0.0022586188815617416,0.011598544953621974,0.009339926072060231
test,1,0.004421479008232367,0.00492544349532226,0.0005039644870898927,0.008025080303561279,0.010283753969683913,0.0022586736661226337,0.0066006600660066,0.0019801980198019802,-0.00462046204620462,0.01290183551363959,0.011682385153635533,-0.0012194503600040565,0.00020744931636020744,0.00016334966830016333,-4.4099648060044104e-05,0.0017125382411992658,0.007071948955459975,0.005359410714260709,0.005524084733075778,0.007157081655526239,0.001632996922450461
test,2,0.003584858729583089,0.002660533175865674,-0.000924325553717415,0.005586202992830076,0.005238007224648639,-0.0003481957681814368,0.0049504950495049506,0.0006600660066006601,-0.0042904290429042905,0.011880133860663219,0.009002636649427036,-0.0028774972112361828,3.2569046378322042e-06,0.0004965055329062318,0.0004932486282683996,0.0008352089702907587,0.006029637777574415,0.005194428807283656,0.005224378580576675,0.0044954784678680965,-0.0007289001127085788
