model_group,condition,metric,mean,min,max,range,delta_from_all_modal_mean,limitation
reliability_p015,rgb_removed,f1,0.8394060693814127,0.8274560274560274,0.8513561113067981,0.023900083850770693,-0.0738761706281954,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
reliability_p015,rgb_removed,ap50,0.8984862864017487,0.8942665457725525,0.9027060270309448,0.008439481258392334,-0.0600830614566803,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
reliability_p015,rgb_removed,ap75,0.7051162719726562,0.69971764087677,0.7105149030685425,0.010797262191772461,-0.1708504557609558,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
reliability_p015,thermal_removed,precision,0.8320588113940757,0.8169185763042418,0.8471990464839094,0.030280470179667618,-0.09526930000714273,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
reliability_p015,thermal_removed,recall,0.5884608829043805,0.5711607295040054,0.6057610363047554,0.03460030680074999,-0.31123231634566206,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
reliability_p015,thermal_removed,f1,0.6893521377211514,0.672284080650015,0.7064201947922879,0.03413611414227291,-0.22393010228845667,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
reliability_p015,thermal_removed,ap50,0.7030294239521027,0.6882084012031555,0.7178504467010498,0.029642045497894287,-0.2555399239063263,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
reliability_p015,thermal_removed,ap75,0.3883095979690552,0.3607078790664673,0.41591131687164307,0.05520343780517578,-0.4876571297645569,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
reliability_p015,event_removed,precision,0.930546441516446,0.9242264416315049,0.9368664414013872,0.012639999769882282,0.0032183301152276522,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
reliability_p015,event_removed,recall,0.8969660814726437,0.8960286347366627,0.8979035282086245,0.0018748934719617916,-0.0027271177773988686,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
reliability_p015,event_removed,f1,0.9134402048100072,0.9099091302466464,0.9169712793733681,0.007062149126721651,0.00015796480039909078,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
reliability_p015,event_removed,ap50,0.958166241645813,0.9572747945785522,0.9590576887130737,0.0017828941345214844,-0.0004031062126159668,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
reliability_p015,event_removed,ap75,0.8600485026836395,0.8292766213417053,0.8908203840255737,0.06154376268386841,-0.015918225049972534,These deterministic zero-channel evaluations do not emulate measured physical sensor faults or real cross-sensor deployment failures.
