effect,variant,seed,condition,metric,delta
removal_minus_full,ra_no_moddrop,0,no_event,ap50,-0.4082964887926446
removal_minus_full,ra_no_moddrop,0,no_event,ap75,-0.5528255391783885
removal_minus_full,ra_no_moddrop,0,no_event,ar100,-0.305522413499233
removal_minus_full,ra_full_p015,0,no_rgb,ap50_95,-0.10971462821493261
removal_minus_full,ra_full_p015,0,no_rgb,ap50,-0.05511178497126701
removal_minus_full,ra_full_p015,0,no_rgb,ap75,-0.18286082953213667
removal_minus_full,ra_full_p015,0,no_rgb,ar100,-0.07572865178114874
removal_minus_full,ra_full_p015,0,no_thermal,ap50_95,-0.3101550743416311
removal_minus_full,ra_full_p015,0,no_thermal,ap50,-0.23830547765752774
removal_minus_full,ra_full_p015,0,no_thermal,ap75,-0.474545776285219
removal_minus_full,ra_full_p015,0,no_thermal,ar100,-0.22989602863473668
removal_minus_full,ra_full_p015,0,no_event,ap50_95,-3.249240526004282e-05
removal_minus_full,ra_full_p015,0,no_event,ap50,0.0008400296146690023
removal_minus_full,ra_full_p015,0,no_event,ap75,-0.00408281091837237
removal_minus_full,ra_full_p015,0,no_event,ar100,-0.0015680927220044216
dynamic_gate_main,,1,full,ap50_95,0.050195968696616244
modality_dropout_main,,1,full,ap50_95,0.008906974693168923
gate_x_dropout_interaction,,1,full,ap50_95,-0.03884926933096233
dynamic_gate_main,,1,full,ap50,0.00893209453119398
modality_dropout_main,,1,full,ap50,0.004100830056988969
gate_x_dropout_interaction,,1,full,ap50,-0.00046672271217940153
dynamic_gate_main,,1,full,ap75,0.07132495689597307
modality_dropout_main,,1,full,ap75,0.01137294490784213
gate_x_dropout_interaction,,1,full,ap75,-0.0389940872970409
dynamic_gate_main,,1,full,ar100,0.038196693369694834
modality_dropout_main,,1,full,ar100,0.0075677518322822546
gate_x_dropout_interaction,,1,full,ar100,-0.02788477927390509
dynamic_gate_main,,1,no_rgb,ap50_95,-0.013932715696691633
modality_dropout_main,,1,no_rgb,ap50_95,0.11644672687719004
gate_x_dropout_interaction,,1,no_rgb,ap50_95,0.056330336744583986
dynamic_gate_main,,1,no_rgb,ap50,-0.08392270034074373
modality_dropout_main,,1,no_rgb,ap50,0.15537406535344706
gate_x_dropout_interaction,,1,no_rgb,ap50,0.17878683914976323
dynamic_gate_main,,1,no_rgb,ap75,0.0074231812900752425
modality_dropout_main,,1,no_rgb,ap75,0.15600175619757306
gate_x_dropout_interaction,,1,no_rgb,ap75,-0.0008429352573697813
dynamic_gate_main,,1,no_rgb,ar100,-0.03809442645304245
modality_dropout_main,,1,no_rgb,ar100,0.11920913584455423
gate_x_dropout_interaction,,1,no_rgb,ar100,0.09630134651440281
dynamic_gate_main,,1,no_thermal,ap50_95,0.04059427898264871
modality_dropout_main,,1,no_thermal,ap50_95,0.14612160043732858
gate_x_dropout_interaction,,1,no_thermal,ap50_95,-0.08436233093336284
dynamic_gate_main,,1,no_thermal,ap50,0.016893149439137833
modality_dropout_main,,1,no_thermal,ap50,0.27577264964335874
gate_x_dropout_interaction,,1,no_thermal,ap50,-0.07352118183005196
dynamic_gate_main,,1,no_thermal,ap75,0.0602291181513151
modality_dropout_main,,1,no_thermal,ap75,0.12621008470999234
gate_x_dropout_interaction,,1,no_thermal,ap75,-0.0920703905440281
dynamic_gate_main,,1,no_thermal,ar100,0.02473154934378735
modality_dropout_main,,1,no_thermal,ar100,0.19401738537583096
gate_x_dropout_interaction,,1,no_thermal,ar100,-0.05887165501960101
dynamic_gate_main,,1,no_event,ap50_95,-0.1232229156378542
modality_dropout_main,,1,no_event,ap50_95,0.270813985057278
gate_x_dropout_interaction,,1,no_event,ap50_95,0.28173810313613024
dynamic_gate_main,,1,no_event,ap50,-0.20142499050456944
modality_dropout_main,,1,no_event,ap50,0.2709646361215603
gate_x_dropout_interaction,,1,no_event,ap50,0.4137909561457152
dynamic_gate_main,,1,no_event,ap75,-0.15115494995860096
modality_dropout_main,,1,no_event,ap75,0.36053680022059137
gate_x_dropout_interaction,,1,no_event,ap75,0.37144083742614387
dynamic_gate_main,,1,no_event,ar100,-0.1316856996761549
modality_dropout_main,,1,no_event,ar100,0.22851542525992846
gate_x_dropout_interaction,,1,no_event,ar100,0.28982444179307987
removal_minus_full,matched_early,1,no_rgb,ap50_95,-0.14219387019341723
removal_minus_full,matched_early,1,no_rgb,ap50,-0.11847386936243409
removal_minus_full,matched_early,1,no_rgb,ap75,-0.2344743741683809
removal_minus_full,matched_early,1,no_rgb,ar100,-0.10092040224987209
removal_minus_full,matched_early,1,no_thermal,ap50_95,-0.4536522247980074
removal_minus_full,matched_early,1,no_thermal,ap50,-0.5450837020076719
removal_minus_full,matched_early,1,no_thermal,ap75,-0.5856005385390609
removal_minus_full,matched_early,1,no_thermal,ar100,-0.4023521390830066
removal_minus_full,matched_early,1,no_event,ap50_95,-0.10206551282946674
removal_minus_full,matched_early,1,no_event,ap50,-0.05859192420907877
removal_minus_full,matched_early,1,no_event,ap75,-0.14331357327001304
removal_minus_full,matched_early,1,no_event,ar100,-0.06190557354695747
removal_minus_full,early_moddrop,1,no_rgb,ap50_95,-0.08224392104716927
removal_minus_full,early_moddrop,1,no_rgb,ap50,-0.05682741499694732
removal_minus_full,early_moddrop,1,no_rgb,ap75,-0.10892113889848554
removal_minus_full,early_moddrop,1,no_rgb,ar100,-0.051372081131754066
removal_minus_full,early_moddrop,1,no_thermal,ap50_95,-0.2936810682526475
removal_minus_full,early_moddrop,1,no_thermal,ap50,-0.23688465286236582
removal_minus_full,early_moddrop,1,no_thermal,ap75,-0.4442252471134171
removal_minus_full,early_moddrop,1,no_thermal,ar100,-0.20040906766660993
removal_minus_full,early_moddrop,1,no_event,ap50_95,-0.00045218869890395474
removal_minus_full,early_moddrop,1,no_event,ap50,0.001143042426545282
removal_minus_full,early_moddrop,1,no_event,ap75,0.0006328196811438147
removal_minus_full,early_moddrop,1,no_event,ar100,0.00018748934719625687
removal_minus_full,ra_no_moddrop,1,no_rgb,ap50_95,-0.25391235762449826
removal_minus_full,ra_no_moddrop,1,no_rgb,ap50,-0.3009554451653431
removal_minus_full,ra_no_moddrop,1,no_rgb,ap75,-0.3174517257941143
removal_minus_full,ra_no_moddrop,1,no_rgb,ar100,-0.23930458496676332
removal_minus_full,ra_no_moddrop,1,no_thermal,ap50_95,-0.4404973837107747
removal_minus_full,ra_no_moddrop,1,no_thermal,ap50,-0.5005954175407917
removal_minus_full,ra_no_moddrop,1,no_thermal,ap75,-0.5701582256602253
removal_minus_full,ra_no_moddrop,1,no_thermal,ar100,-0.4003238452360661
removal_minus_full,ra_no_moddrop,1,no_event,ap50_95,-0.4357780833974835
removal_minus_full,ra_no_moddrop,1,no_event,ap50,-0.4760778486737895
removal_minus_full,ra_no_moddrop,1,no_event,ap75,-0.5710109424861795
removal_minus_full,ra_no_moddrop,1,no_event,ar100,-0.3906425771262997
removal_minus_full,ra_full_p015,1,no_rgb,ap50_95,-0.09878280240270398
removal_minus_full,ra_full_p015,1,no_rgb,ap50,-0.06005542893791371
removal_minus_full,ra_full_p015,1,no_rgb,ap75,-0.1537473384845478
removal_minus_full,ra_full_p015,1,no_rgb,ar100,-0.0655701380603374
removal_minus_full,ra_full_p015,1,no_thermal,ap50_95,-0.3260392887678153
removal_minus_full,ra_full_p015,1,no_thermal,ap50,-0.26545082751335825
removal_minus_full,ra_full_p015,1,no_thermal,ap75,-0.48185923748156867
removal_minus_full,ra_full_p015,1,no_thermal,ar100,-0.22936764956536537
removal_minus_full,ra_full_p015,1,no_event,ap50_95,-0.013577386799828117
removal_minus_full,ra_full_p015,1,no_event,ap50,-0.0020852031802708337
removal_minus_full,ra_full_p015,1,no_event,ap75,-0.01662962481183783
removal_minus_full,ra_full_p015,1,no_event,ar100,-0.010840293165160997
dynamic_gate_main,,2,full,ap50_95,0.03391329192942549
modality_dropout_main,,2,full,ap50_95,-0.00963118588805345
gate_x_dropout_interaction,,2,full,ap50_95,-0.05041222839495463
dynamic_gate_main,,2,full,ap50,0.014194602183736749
modality_dropout_main,,2,full,ap50,0.008415792611010608
gate_x_dropout_interaction,,2,full,ap50,-0.001887774593574032
dynamic_gate_main,,2,full,ap75,0.05094945021064723
modality_dropout_main,,2,full,ap75,0.0043455246615603516
gate_x_dropout_interaction,,2,full,ap75,-0.050513897620878545
dynamic_gate_main,,2,full,ar100,0.023410601670359577
modality_dropout_main,,2,full,ar100,-0.008428498380773863
gate_x_dropout_interaction,,2,full,ar100,-0.049343787284813256
dynamic_gate_main,,2,no_rgb,ap50_95,0.0010784017162629722
modality_dropout_main,,2,no_rgb,ap50_95,0.11012489022769953
gate_x_dropout_interaction,,2,no_rgb,ap50_95,0.009314493798318446
dynamic_gate_main,,2,no_rgb,ap50,-0.041404039749502186
modality_dropout_main,,2,no_rgb,ap50,0.17520735792963044
gate_x_dropout_interaction,,2,no_rgb,ap50,0.08834722567947784
dynamic_gate_main,,2,no_rgb,ap75,0.026978581440673444
modality_dropout_main,,2,no_rgb,ap75,0.14025781068123322
gate_x_dropout_interaction,,2,no_rgb,ap75,-0.003988571713261724
dynamic_gate_main,,2,no_rgb,ar100,-0.01927731378898928
modality_dropout_main,,2,no_rgb,ar100,0.10669848304073631
gate_x_dropout_interaction,,2,no_rgb,ar100,0.03579342082836201
dynamic_gate_main,,2,no_thermal,ap50_95,0.014865016275709991
modality_dropout_main,,2,no_thermal,ap50_95,0.13142364667060882
gate_x_dropout_interaction,,2,no_thermal,ap50_95,-0.04259614318699151
dynamic_gate_main,,2,no_thermal,ap50,-0.005511802501180829
modality_dropout_main,,2,no_thermal,ap50,0.32155489708779006
gate_x_dropout_interaction,,2,no_thermal,ap50,0.04473271869767037
dynamic_gate_main,,2,no_thermal,ap75,0.02753624475839664
modality_dropout_main,,2,no_thermal,ap75,0.09083788823297931
gate_x_dropout_interaction,,2,no_thermal,ap75,-0.07890545826239487
dynamic_gate_main,,2,no_thermal,ar100,-0.018944946309868732
modality_dropout_main,,2,no_thermal,ar100,0.22424578148968807
gate_x_dropout_interaction,,2,no_thermal,ar100,0.014913925345150847
dynamic_gate_main,,2,no_event,ap50_95,-0.15674194914748127
modality_dropout_main,,2,no_event,ap50_95,0.199361420101515
gate_x_dropout_interaction,,2,no_event,ap50_95,0.3247365441515199
dynamic_gate_main,,2,no_event,ap50,-0.2045149324281009
modality_dropout_main,,2,no_event,ap50,0.2373886430437344
gate_x_dropout_interaction,,2,no_event,ap50,0.43506698934971894
dynamic_gate_main,,2,no_event,ap75,-0.20203542793509824
modality_dropout_main,,2,no_event,ap75,0.26895127417615783
gate_x_dropout_interaction,,2,no_event,ap75,0.43447337932953195
dynamic_gate_main,,2,no_event,ar100,-0.12725413328788138
modality_dropout_main,,2,no_event,ar100,0.15326401908982445
gate_x_dropout_interaction,,2,no_event,ar100,0.2517470598261462
removal_minus_full,matched_early,2,no_rgb,ap50_95,-0.18339647082852817
removal_minus_full,matched_early,2,no_rgb,ap50,-0.17526599384674935
removal_minus_full,matched_early,2,no_rgb,ap75,-0.2671497425660333
removal_minus_full,matched_early,2,no_rgb,ar100,-0.1327935912732232
removal_minus_full,matched_early,2,no_thermal,ap50_95,-0.44412637555365797
removal_minus_full,matched_early,2,no_thermal,ap50,-0.5617352833903906
removal_minus_full,matched_early,2,no_thermal,ap75,-0.5539269249524152
removal_minus_full,matched_early,2,no_thermal,ar100,-0.41862962331685705
removal_minus_full,matched_early,2,no_event,ap50_95,-0.03081198080958325
removal_minus_full,matched_early,2,no_event,ap50,-0.012202529360173409
removal_minus_full,matched_early,2,no_event,ap75,-0.038921449479059844
removal_minus_full,matched_early,2,no_event,ar100,-0.019328447247315528
removal_minus_full,early_moddrop,2,no_rgb,ap50_95,-0.09350375580941173
removal_minus_full,early_moddrop,2,no_rgb,ap50,-0.05359192866465545
removal_minus_full,early_moddrop,2,no_rgb,ap75,-0.15450011950016884
removal_minus_full,early_moddrop,2,no_rgb,ar100,-0.06023521390830067
removal_minus_full,early_moddrop,2,no_thermal,ap50_95,-0.30697958559897726
removal_minus_full,early_moddrop,2,no_thermal,ap50,-0.2719064255592334
removal_minus_full,early_moddrop,2,no_thermal,ap75,-0.45323878106023807
removal_minus_full,early_moddrop,2,no_thermal,ar100,-0.21808419976137716
removal_minus_full,early_moddrop,2,no_event,ap50_95,-0.009393761093252073
removal_minus_full,early_moddrop,2,no_event,ap50,-0.0017070608990961134
removal_minus_full,early_moddrop,2,no_event,ap75,-0.016809338439667587
removal_minus_full,early_moddrop,2,no_event,ar100,-0.008181353332196939
removal_minus_full,ra_no_moddrop,2,no_rgb,ap50_95,-0.24609472213832723
removal_minus_full,ra_no_moddrop,2,no_rgb,ap50,-0.2759821359165142
removal_minus_full,ra_no_moddrop,2,no_rgb,ap75,-0.3143832742898155
removal_minus_full,ra_no_moddrop,2,no_rgb,ar100,-0.2180501107891597
removal_minus_full,ra_no_moddrop,2,no_thermal,ap50_95,-0.46708269381135503
removal_minus_full,ra_no_moddrop,2,no_thermal,ap50,-0.6047519347209305
removal_minus_full,ra_no_moddrop,2,no_thermal,ap75,-0.5631443500839076
removal_minus_full,ra_no_moddrop,2,no_thermal,ar100,-0.4931140276120674
removal_minus_full,ra_no_moddrop,2,no_event,ap50_95,-0.4090416081597273
removal_minus_full,ra_no_moddrop,2,no_event,ap50,-0.44938944594365754
removal_minus_full,ra_no_moddrop,2,no_event,ap75,-0.5343999661000105
removal_minus_full,ra_no_moddrop,2,no_event,ar100,-0.3205386057610362
removal_minus_full,ra_full_p015,2,no_rgb,ap50_95,-0.09647528492593771
removal_minus_full,ra_full_p015,2,no_rgb,ap50,-0.06407307046136845
removal_minus_full,ra_full_p015,2,no_rgb,ap75,-0.15520832531633422
removal_minus_full,ra_full_p015,2,no_rgb,ar100,-0.06035452531106189
removal_minus_full,ra_full_p015,2,no_thermal,ap50_95,-0.3221198186487112
removal_minus_full,ra_full_p015,2,no_thermal,ap50,-0.26830258359852877
removal_minus_full,ra_full_p015,2,no_thermal,ap75,-0.4908477668332468
removal_minus_full,ra_full_p015,2,no_thermal,ar100,-0.22831089142662342
removal_minus_full,ra_full_p015,2,no_event,ap50_95,-0.01247461589692156
removal_minus_full,ra_full_p015,2,no_event,ap50,-0.0019392135392872767
removal_minus_full,ra_full_p015,2,no_event,ap75,-0.027300578110207807
removal_minus_full,ra_full_p015,2,no_event,ar100,-0.008300664734958163
