run_id,variant,model,seed,training_modality_dropout,condition,ap50_95,ap50,ap75,ar100,images,gt_boxes,detections,runtime_seconds,checkpoint_sha256,weights,split_sha256,removal_operator
matched_early_seed2,matched_early,early,2,0.0,no_event,0.6408542640774446,0.9198818181636266,0.7588114882505661,0.7297085392875405,2213,5867,221300,67.15936183929443,b36b4965931da68b77a6be82e85e47b34f952445d64b941337f56a722f62737e,E:\RepViT-main\runs\v40_expanded_adjacency_v2_compute_minimized\matched_early_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
early_moddrop_seed0,early_moddrop,early,0,0.15,full,0.6726638054166754,0.9469235629856483,0.8135805598711372,0.7499403442986193,2213,5867,221300,66.13304162025452,6f4f756890a518ab750bb2be216c8a825944091e1b8d3143f4696178eb602fbf,E:\RepViT-main\runs\v46_coco_ablation\local_training\early_moddrop_seed0\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
early_moddrop_seed0,early_moddrop,early,0,0.15,no_rgb,0.5866932229591522,0.8742271204819931,0.6658666158655461,0.6915288904039544,2213,5867,221300,67.50783157348633,6f4f756890a518ab750bb2be216c8a825944091e1b8d3143f4696178eb602fbf,E:\RepViT-main\runs\v46_coco_ablation\local_training\early_moddrop_seed0\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
early_moddrop_seed0,early_moddrop,early,0,0.15,no_thermal,0.3874504594430756,0.7322823275139876,0.3607791412672515,0.5420998806885973,2213,5867,221300,67.45492482185364,6f4f756890a518ab750bb2be216c8a825944091e1b8d3143f4696178eb602fbf,E:\RepViT-main\runs\v46_coco_ablation\local_training\early_moddrop_seed0\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
early_moddrop_seed0,early_moddrop,early,0,0.15,no_event,0.6712815713837769,0.9462842802666146,0.8030059076100828,0.7502471450485768,2213,5867,221300,66.95169949531555,6f4f756890a518ab750bb2be216c8a825944091e1b8d3143f4696178eb602fbf,E:\RepViT-main\runs\v46_coco_ablation\local_training\early_moddrop_seed0\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
early_moddrop_seed1,early_moddrop,early,1,0.15,full,0.6921241408331282,0.9428390679948252,0.8224474282288081,0.7668996079768196,2213,5867,221300,66.70147037506104,621d0563439db2554d10625b90afd8cc982cb64ed7294036934e0ccf66bbb83c,E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed1\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
early_moddrop_seed1,early_moddrop,early,1,0.15,no_rgb,0.609880219785959,0.8860116529978779,0.7135262893303226,0.7155275268450655,2213,5867,221300,67.44063258171082,621d0563439db2554d10625b90afd8cc982cb64ed7294036934e0ccf66bbb83c,E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed1\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
early_moddrop_seed1,early_moddrop,early,1,0.15,no_thermal,0.39844307258048073,0.7059544151324594,0.378222181115391,0.5664905403102096,2213,5867,221300,67.54779982566833,621d0563439db2554d10625b90afd8cc982cb64ed7294036934e0ccf66bbb83c,E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed1\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
early_moddrop_seed1,early_moddrop,early,1,0.15,no_event,0.6916719521342243,0.9439821104213705,0.8230802479099519,0.7670870973240158,2213,5867,221300,66.64602184295654,621d0563439db2554d10625b90afd8cc982cb64ed7294036934e0ccf66bbb83c,E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed1\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
early_moddrop_seed2,early_moddrop,early,2,0.15,full,0.6872411731964517,0.9414440274315976,0.8273354112016256,0.7652803817964888,2213,5867,221300,66.40720057487488,c204220f66851e96433c5bfd2d08a85bb8f7d56ec41cff351e748faca8345a60,E:\RepViT-main\runs\v48_complete_ablation\training\early_moddrop_seed2\weights\best.pt,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f,"zero RGB[0:3], thermal[3:4], or event[4:5]"
