variant,step,original_row_id,target_box_count,valid_target_count,matched_anchor_count,loss_total,loss_classifier,loss_box_reg,loss_centerness,learning_rate,global_gradient_norm,bbox_weight_gradient_norm,bbox_bias_gradient_norm,bbox_gradient_nonzero_fraction,bbox_bias_0,bbox_bias_1,bbox_bias_2,bbox_bias_3,finite,cuda_allocated_bytes,cuda_reserved_bytes,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,step_time_sec,regression_tower_gradient_norm,detector_head_gradient_norm,bbox_weight_norm_after,bbox_weight_min_after,bbox_weight_max_after,bbox_bias_min_after,bbox_bias_max_after
v66_seed1_equal_softplus_b1_t20_fulltrain,1,train:00006249,2,2,2,2.510922431945801,1.0339668989181519,0.8071923851966858,0.6697630882263184,0.0001,42.070020761399995,6.535001981415552,0.28030698602044324,0.6279271841049194,9.999998292187229e-05,-9.99999901978299e-05,9.99999901978299e-05,-9.999996109399945e-05,True,237449216,440401920,20.253808799999998,0.15241659999999868,0.23928700000000092,0.7823041999999987,1.1940235000000001,16.913238266497924,22.695494961758612,0.6783517599105835,-0.031427137553691864,0.034617647528648376,-9.99999901978299e-05,9.99999901978299e-05
v66_seed1_equal_softplus_b1_t20_fulltrain,2,train:00020601,3,3,1,2.4786767959594727,1.037739634513855,0.7475641369819641,0.693372905254364,0.0001,40.25608893524497,6.61469553028696,0.3250815894573236,0.5134431719779968,0.00019831933605019003,-0.0001933135645231232,0.00010053362348116934,-0.00018823175923898816,True,237678592,505413632,0.02006330000000034,0.09313600000000122,0.11623870000000025,0.3542582000000003,0.5845169000000006,15.965936448091824,21.829899377994316,0.6783228516578674,-0.03149409964680672,0.03465892747044563,-0.0001933135645231232,0.00019831933605019003
v66_seed1_equal_softplus_b1_t20_fulltrain,3,train:00026508,2,2,0,0.06538800895214081,0.06538800895214081,0.0,0.0,0.0001,3.7838689528327434,0.0,0.0,0.0,0.00027432048227638006,-0.0002654452109709382,0.00010094612662214786,-0.00025643518893048167,True,237629440,505413632,0.014913299999996354,0.08839499999999845,0.09801680000000346,0.3278601999999964,0.5307677999999996,0.0,3.763419855929178,0.678320050239563,-0.03154585883021355,0.03469083830714226,-0.0002654452109709382,0.00027432048227638006
v66_seed1_equal_softplus_b1_t20_fulltrain,4,train:00028488,3,3,4,2.467960834503174,0.9390759468078613,0.8465890884399414,0.6822957992553711,0.0001,24.677924239020054,5.3631229736436135,0.19937111181156839,0.7823070287704468,0.0003451366792432964,-0.00028844058397226036,0.0001126140559790656,-0.00033572764368727803,True,237678592,505413632,0.01736230000000205,0.12023070000000047,0.2089925000000008,1.9230923000000004,2.2713634000000056,13.415480724750914,19.295597689998495,0.6783193349838257,-0.03161763772368431,0.03472242131829262,-0.00033572764368727803,0.0003451366792432964
v66_seed1_equal_softplus_b1_t20_fulltrain,5,train:00011701,3,3,0,0.07360853254795074,0.07360853254795074,0.0,0.0,0.0001,4.595289450836461,0.0,0.0,0.0,0.0004049925191793591,-0.0003078769368585199,0.00012247612175997347,-0.0004027478280477226,True,237629440,505413632,0.22562619999999356,0.7049468000000019,0.759656899999996,3.693240800000005,5.381423300000002,0.0,4.532319655405047,0.6783316135406494,-0.03167830780148506,0.034749116748571396,-0.0004027478280477226,0.0004049925191793591
v66_seed1_equal_softplus_b1_t20_fulltrain,6,train:00005808,2,2,2,2.3175013065338135,0.9401981234550476,0.7082341909408569,0.6690690517425537,0.0001,42.5180897976253,6.207498023838416,0.3821694037707226,0.5871639251708984,0.0004753278917632997,-0.0002829210425261408,0.00016634805069770664,-0.00048059679102152586,True,237678592,505413632,0.13822509999999966,0.8781897000000001,0.8305421999999965,1.6324913999999993,3.4618156999999954,12.124205917913038,18.69340997306838,0.6783697605133057,-0.031743865460157394,0.03479472175240517,-0.00048059679102152586,0.0004753278917632997
v66_seed1_equal_softplus_b1_t20_fulltrain,7,train:00017015,2,2,1,2.393285036087036,0.997761607170105,0.6904585361480713,0.7050648927688599,0.0001,61.31260058818095,13.871146971438908,0.3654547949623512,0.4631396532058716,0.0005133941303938627,-0.00023369069094769657,0.0001793078554328531,-0.000563907204195857,True,237629440,505413632,0.05025000000000546,0.22549750000000301,0.2550322999999963,0.5734324000000015,1.110510099999999,24.432926862239423,35.28000701017758,0.6783739924430847,-0.03181978315114975,0.034805163741111755,-0.000563907204195857,0.0005133941303938627
v66_seed1_equal_softplus_b1_t20_fulltrain,8,train:00005711,3,3,13,2.6113951206207275,0.911984384059906,0.9142924547195435,0.7851184010505676,0.0001,17.34466663822328,1.2697362619706323,0.04936938999204201,0.8222029805183411,0.0005506854504346848,-0.00019199372036382556,0.00019654666539281607,-0.0006407525506801903,True,237678592,505413632,0.02645379999999875,0.09283869999999439,0.11955960000000232,0.35448180000000207,0.5900445000000047,6.976838222899971,12.924396731654594,0.6783885955810547,-0.03188765421509743,0.034818749874830246,-0.0006407525506801903,0.0005506854504346848
v66_seed1_equal_softplus_b1_t20_fulltrain,9,train:00006561,3,3,5,2.3997902870178223,0.8699789047241211,0.8821104168891907,0.6477009654045105,0.0001,30.463303807427543,3.699746533150969,0.2389972555048422,0.6712923049926758,0.0005973752704448998,-0.0001732378441374749,0.0002311551506863907,-0.0007039893534965813,True,237629440,505413632,0.01667359999999718,0.10052559999999744,0.12422010000000228,0.3268466000000032,0.5694115000000011,6.599103845843079,11.835814810304175,0.6784038543701172,-0.03194042295217514,0.03484482318162918,-0.0007039893534965813,0.0005973752704448998
v66_seed1_equal_softplus_b1_t20_fulltrain,10,train:00010359,3,3,3,2.1615304946899414,0.883019208908081,0.590168833732605,0.6883424520492554,0.0001,36.215100215301774,9.589039678781816,0.33362014608459367,0.6279271841049194,0.0006416058749891818,-0.00017935574578586966,0.0002844610717147589,-0.0007762238965369761,True,237678592,505413632,0.015521199999994906,0.09177289999999516,0.11368320000000409,0.30945639999999486,0.5318722999999963,12.783408337637695,19.682416016550214,0.6784172654151917,-0.03199915587902069,0.034888941794633865,-0.0007762238965369761,0.0006416058749891818
v66_seed1_equal_softplus_b1_t20_fulltrain,11,train:00020938,2,2,2,2.40116024017334,0.8675820827484131,0.8426600694656372,0.6909182071685791,0.0001,32.10142442196454,2.433524487849424,0.10830556229094727,0.6157849431037903,0.0006748552550561726,-0.0001908007252495736,0.00032544939313083887,-0.0008477519149892032,True,237629440,505413632,0.015844700000002376,0.09166210000000063,0.11834160000000082,0.3204232999999945,0.5472261999999972,4.5824987625724125,15.07484680914086,0.6784183979034424,-0.0320555716753006,0.034919705241918564,-0.0008477519149892032,0.0006748552550561726
v66_seed1_equal_softplus_b1_t20_fulltrain,12,train:00017395,1,1,0,0.27935993671417236,0.27935993671417236,0.0,0.0,0.0001,20.498087058061014,0.0,0.0,0.0,0.0007047509425319731,-0.0002010913158301264,0.0003623034281190485,-0.0009120652684941888,True,237678592,505413632,0.014464500000002545,0.09199509999999833,0.11041330000000471,0.3542744999999954,0.5728677999999974,0.0,19.783600146449768,0.6784261465072632,-0.032106298953294754,0.034947365522384644,-0.0009120652684941888,0.0007047509425319731
v66_seed1_equal_softplus_b1_t20_fulltrain,13,train:00016029,2,2,0,0.22197790443897247,0.22197790443897247,0.0,0.0,0.0001,15.448457832945113,0.0,0.0,0.0,0.0007317019626498222,-0.00021036830730736256,0.00039552742964588106,-0.0009700439404696226,True,237629440,505413632,0.015492600000001744,0.09171460000000309,0.09911579999999987,0.3365415999999968,0.5440393000000014,0.0,15.173391627000342,0.678438663482666,-0.032152026891708374,0.03497230261564255,-0.0009700439404696226,0.0007317019626498222
