Model,Path,Batch Size,Img Size,Warmup,Iters,Repeats,Params,Trainable Params,FPS mean,FPS std,Latency ms/img mean,Latency ms/img std,CUDA Memory MB mean,CUDA Memory MB std
early,raw_forward,1,640,100,300,3,6591609,6591609,111.427245,2.190858,8.977959,0.177706,115.153333,0.400694
early,detector_inference,1,640,100,300,3,6591609,6591609,55.488686,1.186789,18.030040,0.390312,122.680000,0.000000
