Mode,Precision,Recall,AP50,AP75,GT boxes,Predictions,Mean Confidence
full,0.028841754051477597,0.9962133684557128,0.9766198396682739,0.9288238883018494,6074,209800,0.13534640821387672
no_rgb,0.026005719733079122,0.8982548567665459,0.7395370602607727,0.564885675907135,6074,209800,0.1483991325513821
no_thermal,0.017511916110581505,0.6048732301613434,0.41063621640205383,0.33305084705352783,6074,209800,0.11120287910293791
no_event,0.0288465204957102,0.9963780046098123,0.9746330976486206,0.9259536266326904,6074,209800,0.13348891678283095
rgb_only,0.017740705433746427,0.6127757655581165,0.3980503976345062,0.3122972249984741,6074,209800,0.10741815355655207
thermal_only,0.025109628217349855,0.8673032597958512,0.7008669972419739,0.5366874933242798,6074,209800,0.14643732644535878
event_only,0.005700667302192564,0.1969048403029305,0.013115141540765762,0.0010618290398269892,6074,209800,0.10179891495490438
