Mode,Precision,Recall,AP50,AP75,GT boxes,Predictions,Mean Confidence
full,0.026534116583822865,0.994579945799458,0.9592487812042236,0.8826526999473572,5904,221300,0.12803012011225104
no_rgb,0.02640759150474469,0.9898373983739838,0.9068012237548828,0.7340074777603149,5904,221300,0.16328930600738625
no_thermal,0.024857659286037052,0.9317411924119241,0.7481079697608948,0.4417235851287842,5904,221300,0.20202521240824334
no_event,0.026525079078174425,0.9942411924119241,0.9578831791877747,0.8785284161567688,5904,221300,0.13085925807941567
rgb_only,0.024866696791685496,0.932079945799458,0.7428228855133057,0.43815726041793823,5904,221300,0.20058120404127303
thermal_only,0.025689109805693628,0.9629065040650406,0.8152005672454834,0.5918518900871277,5904,221300,0.16461403022540866
event_only,0.015598734749209218,0.5846883468834688,0.2846757173538208,0.12581147253513336,5904,221300,0.27146312562955
