Model,Path,Batch Size,Img Size,Warmup,Iters,Repeats,Params,Trainable Params,FPS mean,FPS std,Latency ms/img mean,Latency ms/img std,CUDA Memory MB mean,CUDA Memory MB std
reliability,raw_forward,1,640,100,300,3,6593293,6593293,117.451207,1.668889,8.515909,0.122112,228.006667,0.004714
reliability,detector_inference,1,640,100,300,3,6593293,6593293,55.884826,0.594419,17.895982,0.191525,235.820000,0.000000
