sample_index,sample_id,component_id,rgb_weight,thermal_weight,event_weight,seed
0,frame_00192,v40c_00124,0.9282029271125793,0.013612085022032261,0.05818498507142067,1
1,frame_00193,v40c_00125,0.945876955986023,0.008355928584933281,0.04576718434691429,1
2,frame_00194,v40c_00126,0.9724228978157043,0.002540973015129566,0.02503615990281105,1
3,frame_00195,v40c_00127,0.9563173055648804,0.005773711483925581,0.0379088930785656,1
4,frame_00196,v40c_00128,0.9604727029800415,0.004810437560081482,0.03471683710813522,1
5,frame_00197,v40c_00128,0.9429678320884705,0.009200479835271835,0.04783165827393532,1
6,frame_00198,v40c_00129,0.8774856925010681,0.034388963133096695,0.08812534064054489,1
7,frame_00199,v40c_00130,0.8683280348777771,0.03848430886864662,0.09318769723176956,1
8,frame_00200,v40c_00131,0.9662481546401978,0.0036562783643603325,0.030095580965280533,1
9,frame_00201,v40c_00132,0.8484438061714172,0.048790402710437775,0.10276585072278976,1
10,frame_00202,v40c_00133,0.9215534329414368,0.015924131497740746,0.06252249330282211,1
11,frame_00203,v40c_00134,0.9440644979476929,0.00886286050081253,0.047072578221559525,1
12,frame_00204,v40c_00135,0.9154430031776428,0.018037637695670128,0.06651931256055832,1
13,frame_00205,v40c_00136,0.9507235884666443,0.007039841264486313,0.042236555367708206,1
14,frame_00206,v40c_00137,0.938341498374939,0.010414850898087025,0.05124364048242569,1
15,frame_00207,v40c_00138,0.8021671772003174,0.07497253268957138,0.12286025285720825,1
16,frame_00208,v40c_00139,0.8726547956466675,0.03648487851023674,0.09086030721664429,1
17,frame_00209,v40c_00140,0.9314377903938293,0.012852613814175129,0.055709585547447205,1
18,frame_00210,v40c_00140,0.7804787158966064,0.08892358094453812,0.13059771060943604,1
19,frame_00211,v40c_00141,0.9467072486877441,0.008067161776125431,0.04522562399506569,1
20,frame_00212,v40c_00142,0.933741569519043,0.011898188851773739,0.05436021462082863,1
21,frame_00213,v40c_00143,0.9220725893974304,0.01581364870071411,0.06211370229721069,1
22,frame_00214,v40c_00144,0.9413454532623291,0.009603554382920265,0.04905105382204056,1
23,frame_00215,v40c_00145,0.9063071012496948,0.021782850846648216,0.07191005349159241,1
24,frame_00216,v40c_00146,0.9516879916191101,0.006860820110887289,0.041451238095760345,1
25,frame_00217,v40c_00145,0.9367550015449524,0.010984095744788647,0.052260901778936386,1
26,frame_00218,v40c_00147,0.9197574257850647,0.01670238748192787,0.06354020535945892,1
27,frame_00219,v40c_00148,0.9306573867797852,0.012851218692958355,0.05649135261774063,1
28,frame_00220,v40c_00149,0.9093214869499207,0.02064589411020279,0.07003266364336014,1
29,frame_00221,v40c_00150,0.8014082908630371,0.07544408738613129,0.12314771115779877,1
30,frame_00222,v40c_00151,0.7769880294799805,0.09057074785232544,0.13244132697582245,1
31,frame_00223,v40c_00152,0.9112660884857178,0.019648734480142593,0.0690852627158165,1
32,frame_00224,v40c_00153,0.9230470061302185,0.015285469591617584,0.061667412519454956,1
33,frame_00225,v40c_00154,0.9218937158584595,0.015774494037032127,0.062331750988960266,1
34,frame_00226,v40c_00155,0.8972247242927551,0.02542545460164547,0.07734984159469604,1
35,frame_00227,v40c_00156,0.8414332866668701,0.052397843450307846,0.10616885125637054,1
36,frame_00228,v40c_00157,0.912539005279541,0.019204098731279373,0.06825689226388931,1
37,frame_00229,v40c_00157,0.842647135257721,0.05109543725848198,0.10625744611024857,1
38,frame_00230,v40c_00157,0.8488531708717346,0.04787739738821983,0.10326945781707764,1
39,frame_00231,v40c_00157,0.9392591714859009,0.010190719738602638,0.050550155341625214,1
40,frame_00232,v40c_00157,0.8815302848815918,0.03209369257092476,0.08637608587741852,1
41,frame_00233,v40c_00158,0.9186378717422485,0.01707037352025509,0.06429174542427063,1
42,frame_00234,v40c_00159,0.9330299496650696,0.012424628250300884,0.05454551801085472,1
43,frame_00235,v40c_00160,0.9128475785255432,0.01941671222448349,0.0677357092499733,1
44,frame_00236,v40c_00161,0.923894464969635,0.015474969521164894,0.060630518943071365,1
45,frame_00237,v40c_00162,0.8764186501502991,0.03512047603726387,0.08846086263656616,1
46,frame_00238,v40c_00163,0.9137603640556335,0.019362596794962883,0.06687700003385544,1
47,frame_00239,v40c_00164,0.8866405487060547,0.03062971495091915,0.0827297791838646,1
48,frame_00240,v40c_00164,0.9377686977386475,0.011016901582479477,0.051214445382356644,1
49,frame_00241,v40c_00164,0.8120985627174377,0.06943314522504807,0.118468277156353,1
50,frame_00242,v40c_00164,0.8471121191978455,0.049336835741996765,0.10355105251073837,1
51,frame_00243,v40c_00165,0.804942786693573,0.07377909868955612,0.12127815186977386,1
52,frame_00244,v40c_00164,0.8592595458030701,0.043671250343322754,0.09706924855709076,1
53,frame_00245,v40c_00166,0.8353602886199951,0.056383274495601654,0.10825647413730621,1
54,frame_00246,v40c_00167,0.8755651712417603,0.03596862405538559,0.08846620470285416,1
55,frame_00247,v40c_00168,0.8847756385803223,0.03159496188163757,0.08362941443920135,1
56,frame_00248,v40c_00169,0.8726361989974976,0.03775107488036156,0.08961280435323715,1
57,frame_00249,v40c_00170,0.9484666585922241,0.008089695125818253,0.043443746864795685,1
58,frame_00250,v40c_00171,0.8274838924407959,0.06197788938879967,0.11053822934627533,1
59,frame_00251,v40c_00172,0.9306625723838806,0.01339898444712162,0.05593845248222351,1
60,frame_00252,v40c_00173,0.9190709590911865,0.017586683854460716,0.06334235519170761,1
61,frame_00253,v40c_00174,0.9086650609970093,0.021767111495137215,0.06956780701875687,1
62,frame_00254,v40c_00174,0.8741714954376221,0.03689873218536377,0.08892977982759476,1
63,frame_00255,v40c_00175,0.8784665465354919,0.03552065044641495,0.0860128104686737,1
64,frame_00417,v40c_00263,0.8343299627304077,0.05766502022743225,0.10800497978925705,1
65,frame_00418,v40c_00263,0.8930078744888306,0.027776937931776047,0.07921520620584488,1
66,frame_00419,v40c_00263,0.9427186846733093,0.009463677182793617,0.04781753942370415,1
67,frame_00420,v40c_00263,0.9172621369361877,0.017916182056069374,0.0648217499256134,1
68,frame_00421,v40c_00263,0.9251020550727844,0.01514715887606144,0.05975078418850899,1
69,frame_00422,v40c_00263,0.8820145726203918,0.03292049840092659,0.08506494760513306,1
70,frame_00423,v40c_00263,0.9478693604469299,0.00796475913375616,0.04416578635573387,1
71,frame_00424,v40c_00263,0.9223427772521973,0.016079898923635483,0.06157734617590904,1
