Mode,Precision,Recall,AP50,AP75,GT boxes,Predictions,Mean Confidence
full,0.028836987607244995,0.9960487323016134,0.9799898266792297,0.9509060382843018,6074,209800,0.131864948499028
no_rgb,0.02874642516682555,0.992920645373724,0.9487096071243286,0.8204732537269592,6074,209800,0.16103229819545725
no_thermal,0.027488083889418494,0.9494567006914718,0.8115661144256592,0.5521924495697021,6074,209800,0.20040694934631156
no_event,0.028836987607244995,0.9960487323016134,0.9789724349975586,0.9487029314041138,6074,209800,0.13488787806561808
rgb_only,0.027264061010486177,0.9417188014487982,0.8022335767745972,0.5427981019020081,6074,209800,0.19926478422656158
thermal_only,0.02800285986653956,0.9672374053342114,0.8634951114654541,0.6636457443237305,6074,209800,0.1608335592344872
event_only,0.015896091515729266,0.5490615739216332,0.30435240268707275,0.17146311700344086,6074,209800,0.2588820648128726
