sample_index,sample_id,component_id,rgb_mean_luminance,rgb_std_luminance,rgb_entropy32_normalized,thermal_mean,thermal_std,thermal_entropy32_normalized,event_nonzero_fraction,event_mean_magnitude,event_entropy32_normalized
0,frame_00192,v40c_00124,0.4504978358745575,0.1967342346906662,0.8702646493911743,0.5002349615097046,0.3068118691444397,0.9877943992614746,1.0,0.23187077045440674,0.46346545219421387
1,frame_00193,v40c_00125,0.4491303563117981,0.19941262900829315,0.8762978315353394,0.494780957698822,0.30726149678230286,0.9871078729629517,1.0,0.24409255385398865,0.500193178653717
2,frame_00194,v40c_00126,0.44539186358451843,0.19879768788814545,0.8781224489212036,0.48711299896240234,0.307746946811676,0.9859560132026672,1.0,0.27812400460243225,0.5862466096878052
3,frame_00195,v40c_00127,0.4413411319255829,0.19854164123535156,0.8786811828613281,0.4851764142513275,0.30728018283843994,0.985368549823761,1.0,0.25847649574279785,0.540107011795044
4,frame_00196,v40c_00128,0.43652066588401794,0.19764217734336853,0.8763366937637329,0.48483043909072876,0.3064878284931183,0.9846557378768921,1.0,0.2624763250350952,0.5574867129325867
5,frame_00197,v40c_00128,0.43545645475387573,0.19673582911491394,0.8760830760002136,0.4846099317073822,0.3050917983055115,0.9833033680915833,1.0,0.24404659867286682,0.49699315428733826
6,frame_00198,v40c_00129,0.4362211227416992,0.1957339495420456,0.8769478797912598,0.4833900034427643,0.30507153272628784,0.9833685159683228,1.0,0.2080887407064438,0.377235472202301
7,frame_00199,v40c_00130,0.4343928098678589,0.19660553336143494,0.8779486417770386,0.48061978816986084,0.30416563153266907,0.9825617074966431,1.0,0.20642133057117462,0.39347898960113525
8,frame_00200,v40c_00131,0.43447166681289673,0.19462254643440247,0.8771753311157227,0.47203364968299866,0.3018585741519928,0.9827526211738586,1.0,0.2709480822086334,0.5747098326683044
9,frame_00201,v40c_00132,0.4354557693004608,0.19524738192558289,0.8764376640319824,0.4625929594039917,0.2991059124469757,0.9835649728775024,1.0,0.19905638694763184,0.36277294158935547
10,frame_00202,v40c_00133,0.43525198101997375,0.19516193866729736,0.8767601251602173,0.456315815448761,0.29727423191070557,0.9829626083374023,1.0,0.23141367733478546,0.49412694573402405
11,frame_00203,v40c_00134,0.4362780451774597,0.19606702029705048,0.8828250765800476,0.45965349674224854,0.2957737147808075,0.9833389520645142,1.0,0.2463138997554779,0.5130215883255005
12,frame_00204,v40c_00135,0.43771156668663025,0.19816341996192932,0.8866026997566223,0.4624430239200592,0.2962152659893036,0.9833586812019348,1.0,0.22836849093437195,0.4796624183654785
13,frame_00205,v40c_00136,0.4451107084751129,0.19995175302028656,0.89009028673172,0.4611705541610718,0.2956429123878479,0.9839719533920288,1.0,0.2517859637737274,0.5450886487960815
14,frame_00206,v40c_00137,0.4462779462337494,0.2024148404598236,0.8928869366645813,0.46020275354385376,0.29296836256980896,0.9843913912773132,1.0,0.24436478316783905,0.5283852815628052
15,frame_00207,v40c_00138,0.4505898952484131,0.2043755203485489,0.8960199356079102,0.4636262059211731,0.2931506931781769,0.9846018552780151,1.0,0.1872987002134323,0.323855459690094
16,frame_00208,v40c_00139,0.45342326164245605,0.2039525955915451,0.8976539373397827,0.4671877920627594,0.29484203457832336,0.9849855303764343,1.0,0.20786570012569427,0.4011019170284271
17,frame_00209,v40c_00140,0.45326632261276245,0.2038472592830658,0.8982747197151184,0.4628748893737793,0.2957092225551605,0.9846741557121277,1.0,0.23360440135002136,0.46016302704811096
18,frame_00210,v40c_00140,0.4550332725048065,0.202302485704422,0.8968645930290222,0.4600134789943695,0.29396727681159973,0.9843975901603699,1.0,0.1822592318058014,0.30158576369285583
19,frame_00211,v40c_00141,0.45216697454452515,0.2024042159318924,0.8968498110771179,0.458255410194397,0.29150107502937317,0.9844818115234375,1.0,0.24997004866600037,0.5397915244102478
20,frame_00212,v40c_00142,0.45199882984161377,0.20010116696357727,0.8955291509628296,0.454879492521286,0.29082927107810974,0.9845555424690247,1.0,0.23691798746585846,0.4901958405971527
21,frame_00213,v40c_00143,0.4524676203727722,0.2002025991678238,0.8953941464424133,0.4532163441181183,0.29058587551116943,0.9845887422561646,1.0,0.23081035912036896,0.47109144926071167
22,frame_00214,v40c_00144,0.45135268568992615,0.20041830837726593,0.8970872163772583,0.4523140788078308,0.2902841866016388,0.9848288297653198,1.0,0.24477335810661316,0.5173159837722778
23,frame_00215,v40c_00145,0.44917911291122437,0.20090849697589874,0.8990254402160645,0.44472357630729675,0.2883033752441406,0.9835250973701477,1.0,0.22215117514133453,0.44956088066101074
24,frame_00216,v40c_00146,0.44864171743392944,0.2006603181362152,0.8998966217041016,0.44050687551498413,0.2865716516971588,0.9824598431587219,1.0,0.25462284684181213,0.5441324710845947
25,frame_00217,v40c_00145,0.44656240940093994,0.19982309639453888,0.8990703821182251,0.4386849105358124,0.2842957079410553,0.9813529253005981,1.0,0.2413569539785385,0.5094066858291626
26,frame_00218,v40c_00147,0.445336252450943,0.20044741034507751,0.8993770480155945,0.43765872716903687,0.28369319438934326,0.9808748364448547,1.0,0.22838188707828522,0.46690768003463745
27,frame_00219,v40c_00148,0.44281089305877686,0.2000267058610916,0.9017980694770813,0.436486154794693,0.2827547490596771,0.9808165431022644,1.0,0.23657134175300598,0.49942001700401306
28,frame_00220,v40c_00149,0.44275370240211487,0.1996089071035385,0.9023199081420898,0.44134730100631714,0.2843332886695862,0.9820104837417603,1.0,0.22137215733528137,0.4288092255592346
29,frame_00221,v40c_00150,0.4436671733856201,0.19861717522144318,0.90119868516922,0.44004830718040466,0.2840360999107361,0.9823083877563477,1.0,0.18771736323833466,0.3210650086402893
30,frame_00222,v40c_00151,0.44212478399276733,0.20016376674175262,0.9038450121879578,0.4404469430446625,0.2837848961353302,0.9823819398880005,1.0,0.1822766810655594,0.3125014901161194
31,frame_00223,v40c_00152,0.43806615471839905,0.20038215816020966,0.9025894999504089,0.4387463927268982,0.2833899259567261,0.983482837677002,1.0,0.2268732786178589,0.4758271276950836
32,frame_00224,v40c_00153,0.4364941120147705,0.19840413331985474,0.9004486799240112,0.43746083974838257,0.285587340593338,0.9854604601860046,1.0,0.23418760299682617,0.5103422999382019
33,frame_00225,v40c_00154,0.4328490197658539,0.20057718455791473,0.9050728678703308,0.4375333786010742,0.2860467731952667,0.986050009727478,1.0,0.23442868888378143,0.5086897611618042
34,frame_00226,v40c_00155,0.4306521415710449,0.2011680155992508,0.9071688652038574,0.4374455213546753,0.2847036123275757,0.9861898422241211,1.0,0.21746060252189636,0.43560853600502014
35,frame_00227,v40c_00156,0.4240321218967438,0.20441453158855438,0.9091767072677612,0.4306350648403168,0.2828251123428345,0.9844630360603333,1.0,0.20071066915988922,0.3783448338508606
36,frame_00228,v40c_00157,0.41569647192955017,0.20669597387313843,0.9107853174209595,0.43300366401672363,0.2815079391002655,0.984418511390686,1.0,0.22754375636577606,0.47323837876319885
37,frame_00229,v40c_00157,0.41228631138801575,0.2081190049648285,0.9123438000679016,0.4417320787906647,0.28002238273620605,0.9854718446731567,1.0,0.19970017671585083,0.3639979064464569
38,frame_00230,v40c_00157,0.4100053608417511,0.20909933745861053,0.9124695658683777,0.44149503111839294,0.28013718128204346,0.9856613278388977,1.0,0.20335739850997925,0.37480148673057556
39,frame_00231,v40c_00157,0.4111441671848297,0.2073192596435547,0.9115113019943237,0.4426809847354889,0.28139984607696533,0.9866935610771179,1.0,0.24630513787269592,0.5229436755180359
40,frame_00232,v40c_00157,0.4083429276943207,0.20883184671401978,0.9136236906051636,0.43889811635017395,0.282322496175766,0.9858843088150024,1.0,0.21430383622646332,0.4148251414299011
41,frame_00233,v40c_00158,0.40461277961730957,0.21154800057411194,0.9151196479797363,0.4258902072906494,0.2840045392513275,0.9829965829849243,1.0,0.2319217175245285,0.4967878460884094
42,frame_00234,v40c_00159,0.39646464586257935,0.21357649564743042,0.9170181155204773,0.4147689938545227,0.2832466959953308,0.9794780611991882,1.0,0.23964712023735046,0.5107423067092896
43,frame_00235,v40c_00160,0.3896946609020233,0.21644851565361023,0.9190874099731445,0.4062046706676483,0.282939076423645,0.9758486747741699,1.0,0.23220254480838776,0.5146759152412415
44,frame_00236,v40c_00161,0.3768776059150696,0.22120825946331024,0.919592022895813,0.4013732075691223,0.28433024883270264,0.9726470708847046,1.0,0.2369537353515625,0.5281237959861755
45,frame_00237,v40c_00162,0.35866880416870117,0.22709771990776062,0.9162909388542175,0.39572545886039734,0.28521275520324707,0.9701583981513977,1.0,0.21560677886009216,0.4645465016365051
46,frame_00238,v40c_00163,0.34982576966285706,0.22854559123516083,0.9125218391418457,0.399118572473526,0.28537097573280334,0.9710610508918762,1.0,0.22942964732646942,0.4799928069114685
47,frame_00239,v40c_00164,0.34628331661224365,0.2294302135705948,0.9117140769958496,0.4055420160293579,0.2856426537036896,0.973288357257843,1.0,0.21616865694522858,0.4254695475101471
48,frame_00240,v40c_00164,0.34671497344970703,0.2296374887228012,0.9110350608825684,0.41444963216781616,0.28453952074050903,0.9760169982910156,1.0,0.24542275071144104,0.5103791952133179
49,frame_00241,v40c_00164,0.37555989623069763,0.23789584636688232,0.9282451868057251,0.4205612540245056,0.28426891565322876,0.978337287902832,1.0,0.19309455156326294,0.33200985193252563
50,frame_00242,v40c_00164,0.38879188895225525,0.24186082184314728,0.9299007654190063,0.4217889904975891,0.2841586470603943,0.9785785675048828,1.0,0.20476636290550232,0.41396254301071167
51,frame_00243,v40c_00165,0.39768362045288086,0.24232184886932373,0.9323574304580688,0.4203166961669922,0.28394538164138794,0.9787513017654419,1.0,0.19145211577415466,0.3413740396499634
52,frame_00244,v40c_00164,0.3957885205745697,0.242865189909935,0.9330347776412964,0.41220906376838684,0.28286007046699524,0.9765233993530273,1.0,0.20702862739562988,0.40869706869125366
53,frame_00245,v40c_00166,0.39292111992836,0.24353228509426117,0.9328280687332153,0.4048534333705902,0.28152865171432495,0.9729607701301575,1.0,0.19990679621696472,0.3878454566001892
54,frame_00246,v40c_00167,0.3841480016708374,0.2457471489906311,0.9306915402412415,0.3958137035369873,0.28035056591033936,0.968048095703125,1.0,0.2128344029188156,0.43188706040382385
55,frame_00247,v40c_00168,0.37233397364616394,0.25032034516334534,0.9276243448257446,0.393824964761734,0.28095728158950806,0.9665125608444214,1.0,0.21757535636425018,0.4524840712547302
