modality,severity,operator,rgb_weight_mean,thermal_weight_mean,event_weight_mean,ap50_95,ap50,ap75,ar100,runtime_seconds,seed,run_id,checkpoint_sha256,split_sha256
thermal,1,box_blur_kernel_3,0.5224221500332842,0.3034515522755607,0.17412629970835444,0.7256167858985736,0.9447338433351403,0.8745141949549159,0.7933867393898074,43.411904096603394,1,ra_no_moddrop_seed1,0f936e657b9a4cc83da6fc3f543d7f28ba72e8b61fc5a0bd60f9bff1159845ec,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
thermal,2,box_blur_kernel_7,0.5158349050960549,0.3074681036521702,0.17669699127102836,0.6895537240017595,0.9255128906163034,0.8256319559417105,0.7688767683654338,44.620213747024536,1,ra_no_moddrop_seed1,0f936e657b9a4cc83da6fc3f543d7f28ba72e8b61fc5a0bd60f9bff1159845ec,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
thermal,3,box_blur_kernel_11,0.5125676992383414,0.30928675492975477,0.17814554582390776,0.6412559876782755,0.8920976225881759,0.7574707814003617,0.7376171808419977,47.32383465766907,1,ra_no_moddrop_seed1,0f936e657b9a4cc83da6fc3f543d7f28ba72e8b61fc5a0bd60f9bff1159845ec,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
event,1,attenuation_0.75,0.5835430755288796,0.25382790181127624,0.16262902316737918,0.7250239022947346,0.9468182623517206,0.8689739392887402,0.7895858189875575,43.03641486167908,1,ra_no_moddrop_seed1,0f936e657b9a4cc83da6fc3f543d7f28ba72e8b61fc5a0bd60f9bff1159845ec,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
event,2,attenuation_0.50,0.7386802829233058,0.14119896461696468,0.12012075192610225,0.6117404932858559,0.8810632578846729,0.6948507009439902,0.7179137549002897,43.221749782562256,1,ra_no_moddrop_seed1,0f936e657b9a4cc83da6fc3f543d7f28ba72e8b61fc5a0bd60f9bff1159845ec,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
event,3,attenuation_0.25,0.9095259983508338,0.03827680205405297,0.05219720105880049,0.3144472217316315,0.5102260914542522,0.3218921336991919,0.4552411794784387,43.569650411605835,1,ra_no_moddrop_seed1,0f936e657b9a4cc83da6fc3f543d7f28ba72e8b61fc5a0bd60f9bff1159845ec,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
clean,0,none,0.3796603173636981,0.431436638952554,0.1889030435541287,0.7307856510139307,0.9472228370043237,0.8739393367507124,0.7971194818476223,42.93087911605835,2,ra_no_moddrop_seed2,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
rgb,1,box_blur_kernel_3,0.3801972295700076,0.4304934387418058,0.18930933117475976,0.7252871022959023,0.9457229154891994,0.8694901896619891,0.792619737514914,44.74553370475769,2,ra_no_moddrop_seed2,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
rgb,2,box_blur_kernel_7,0.3810050649357176,0.4289944888396846,0.19000044604111085,0.7078919713352955,0.9362214967638669,0.8550752737676117,0.7799727288222261,47.279950857162476,2,ra_no_moddrop_seed2,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
rgb,3,box_blur_kernel_11,0.3814496212768113,0.4280499000669576,0.1905004780754696,0.6881073553158311,0.9198893713617816,0.8307392321988196,0.7666098517129709,50.26876783370972,2,ra_no_moddrop_seed2,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
thermal,1,box_blur_kernel_3,0.377862390368113,0.43217869485584093,0.1899589155217775,0.724283698705262,0.942167052468137,0.8637715785738426,0.7934208283620248,43.71359372138977,2,ra_no_moddrop_seed2,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
thermal,2,box_blur_kernel_7,0.3752192075819222,0.4332927440794356,0.19148804869888275,0.6925365446750369,0.9268203492350796,0.8207088934667995,0.7715357081983978,44.77091336250305,2,ra_no_moddrop_seed2,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
thermal,3,box_blur_kernel_11,0.37392220556924527,0.43380782880154983,0.1922699655820706,0.6376850155348308,0.8970179243991494,0.7349676539456499,0.7334924152036816,47.316051721572876,2,ra_no_moddrop_seed2,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
event,1,attenuation_0.75,0.37873946443718587,0.41750205051317185,0.2037584845850331,0.7273360437804287,0.9476443693697485,0.8711703629097498,0.7937276291119824,43.05101275444031,2,ra_no_moddrop_seed2,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
event,2,attenuation_0.50,0.42971029122167725,0.35269446652828707,0.21759524197396357,0.7076323091392333,0.942489482321345,0.8442396011378785,0.7779444349752855,43.05526828765869,2,ra_no_moddrop_seed2,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
event,3,attenuation_0.25,0.5759189487230816,0.22582015411998155,0.1982608960728488,0.5629728670647403,0.8242919636314405,0.6427907174416245,0.6968808590421,43.12528967857361,2,ra_no_moddrop_seed2,5968bd0509826dc04bde8e59e0d227812be3a3f805fbfee4559e119c441a4875,722efc6f74a7615aa70fad30275e9e617b3a1866bbc63eadbebce60a9a23fe8f
