sample_index,sample_id,component_id,rgb_weight,thermal_weight,event_weight,seed
790,frame_02606,v40c_01438,0.7319840788841248,0.08263684809207916,0.18537911772727966,0
791,frame_02607,v40c_01439,0.783433198928833,0.05137484893202782,0.16519197821617126,0
792,frame_02608,v40c_01440,0.7525230050086975,0.06994186341762543,0.17753511667251587,0
793,frame_02609,v40c_01441,0.8022794127464294,0.04103977605700493,0.15668071806430817,0
794,frame_02610,v40c_01442,0.5737581849098206,0.20300482213497162,0.22323697805404663,0
795,frame_02611,v40c_01443,0.6392971277236938,0.14941738545894623,0.21128547191619873,0
796,frame_02612,v40c_01443,0.7898963093757629,0.04785460978746414,0.1622491031885147,0
797,frame_02613,v40c_01444,0.6334841847419739,0.15403391420841217,0.21248191595077515,0
798,frame_02614,v40c_01445,0.7174109816551208,0.09270001947879791,0.18988896906375885,0
799,frame_02615,v40c_01446,0.789909839630127,0.04822910577058792,0.16186101734638214,0
800,frame_02616,v40c_01447,0.7005746364593506,0.10455505549907684,0.19487032294273376,0
801,frame_02617,v40c_01448,0.7096905708312988,0.09832447022199631,0.19198501110076904,0
802,frame_02618,v40c_01449,0.7777383327484131,0.05506421625614166,0.16719746589660645,0
803,frame_02619,v40c_01450,0.7035287618637085,0.10229229182004929,0.1941789835691452,0
804,frame_02620,v40c_01451,0.7819764018058777,0.052829157561063766,0.16519442200660706,0
805,frame_02621,v40c_01452,0.7472583055496216,0.07362861931324005,0.1791130155324936,0
806,frame_02622,v40c_01453,0.7442318797111511,0.07527001947164536,0.18049806356430054,0
807,frame_02623,v40c_01454,0.7959738373756409,0.04463258385658264,0.1593935489654541,0
808,frame_02880,v40c_01610,0.7102810144424438,0.09836361557245255,0.19135542213916779,0
809,frame_02881,v40c_01610,0.7918484210968018,0.046461321413517,0.16169032454490662,0
810,frame_02882,v40c_01610,0.7515531182289124,0.07061154395341873,0.17783528566360474,0
811,frame_02883,v40c_01610,0.7738398909568787,0.05683807283639908,0.16932205855846405,0
812,frame_02884,v40c_01611,0.7500279545783997,0.07177335768938065,0.1781986504793167,0
813,frame_02885,v40c_01612,0.7106742262840271,0.09802235662937164,0.19130341708660126,0
814,frame_02886,v40c_01612,0.6721310615539551,0.12613219022750854,0.20173679292201996,0
815,frame_02887,v40c_01613,0.8123218417167664,0.0353248231112957,0.15235334634780884,0
816,frame_02888,v40c_01614,0.7799190878868103,0.05344567820429802,0.16663521528244019,0
817,frame_02889,v40c_01614,0.6707336902618408,0.12761551141738892,0.20165078341960907,0
818,frame_02890,v40c_01614,0.6252350807189941,0.16289938986301422,0.21186555922031403,0
819,frame_02891,v40c_01615,0.7341764569282532,0.08257069438695908,0.18325285613536835,0
