variant,step,original_row_id,target_box_count,valid_target_count,matched_anchor_count,loss_total,loss_classifier,loss_box_reg,loss_centerness,learning_rate,global_gradient_norm,bbox_weight_gradient_norm,bbox_bias_gradient_norm,bbox_gradient_nonzero_fraction,bbox_bias_0,bbox_bias_1,bbox_bias_2,bbox_bias_3,finite,cuda_allocated_bytes,cuda_reserved_bytes,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,step_time_sec,regression_tower_gradient_norm,detector_head_gradient_norm,bbox_weight_norm_after,bbox_weight_min_after,bbox_weight_max_after,bbox_bias_min_after,bbox_bias_max_after
v63_equal_relu_control,1,train:00006249,2,2,2,2.820970296859741,1.154724359512329,1.0,0.6662459969520569,0.0001,21.106833426786203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,237449216,440401920,0.013429800000000824,0.08918129999999991,0.07164380000000037,0.3000095000000016,0.4777399000000031,6.280328801404607,13.713266821036292,0.690285325050354,-0.04164299741387367,0.03800453990697861,0.0,0.0
v63_equal_relu_control,2,train:00020601,3,3,1,2.9856491088867188,1.1531858444213867,1.1393556594848633,0.693107545375824,0.0001,114.4476504018146,23.85279719616006,1.185133934020996,0.12272333353757858,0.0,-7.44136850698851e-05,0.0,0.0,True,239071232,505413632,6.5362522999999975,0.07189149999999955,0.0776475000000012,0.23224270000000047,0.3971914000000005,64.41395417406208,70.01697907400555,0.690265953540802,-0.04164299741387367,0.03800453990697861,-7.44136850698851e-05,0.0
v63_equal_relu_control,3,train:00026508,2,2,0,0.02929915115237236,0.02929915115237236,0.0,0.0,0.0001,1.4631114689784401,0.0,0.0,0.0,0.0,-0.00013193566701374948,0.0,0.0,True,296518144,572522496,6.3250876,0.07195820000000097,0.08111479999999816,0.24732230000000044,0.4119977000000006,0.0,1.4593538179361132,0.6902540326118469,-0.04164299741387367,0.03800453990697861,-0.00013193566701374948,0.0
v63_equal_relu_control,4,train:00028488,3,3,4,2.840763568878174,1.0498937368392944,1.0982776880264282,0.6925922632217407,0.0001,44.38699731695698,11.55180790730353,0.390860915184021,0.16370338201522827,0.0,-0.0001790541864465922,0.0,-5.811283699586056e-05,True,353080320,620756992,6.306577599999997,0.06041179999999713,0.07076729999999998,0.2299628000000027,0.3747996000000029,27.338179754692774,32.95827455153333,0.6902413964271545,-0.04164299741387367,0.03800453990697861,-0.0001790541864465922,0.0
v63_equal_relu_control,5,train:00011701,3,3,0,0.038376882672309875,0.038376882672309875,0.0,0.0,0.0001,2.221847963771691,0.0,0.0,0.0,0.0,-0.0002188800717703998,0.0,-0.00010723143350332975,True,353063936,620756992,0.016766499999995688,0.06893099999999919,0.08468599999999782,0.22872610000000293,0.39996849999999995,0.0,2.2164353167320465,0.6902349591255188,-0.04164299741387367,0.03800453990697861,-0.0002188800717703998,0.0
v63_equal_relu_control,6,train:00005808,2,2,2,2.7144627571105957,1.0426442623138428,1.0,0.6718184947967529,0.0001,11.909640496120272,0.0,0.0,0.0,0.0,-0.00025320483837276697,0.0,-0.00014956531231291592,True,238120960,507510784,6.380929199999997,0.06852330000000251,0.08301079999999672,0.24894299999999703,0.41658969999999584,5.192780730875359,9.113311075940356,0.6902326345443726,-0.04164299741387367,0.03800453990697861,-0.00025320483837276697,0.0
v63_equal_relu_control,7,train:00017015,2,2,1,2.637234926223755,0.9431794285774231,1.0,0.6940555572509766,0.0001,33.67470717101077,0.0,0.0,0.0,0.0,-0.00028318079421296716,0.0,-0.00018653566075954586,True,237350912,507510784,0.016840100000003133,0.07083890000000537,0.08462189999999481,0.2276696000000058,0.40178220000000664,5.155145690206339,22.166769798511027,0.6902329325675964,-0.04164299741387367,0.03800453990697861,-0.00028318079421296716,0.0
v63_equal_relu_control,8,train:00005711,3,3,13,2.668524742126465,0.9364451766014099,1.0,0.7320796251296997,0.0001,13.847793651340128,0.0,0.0,0.0,0.0,-0.00030960640287958086,0.0,-0.00021912725060246885,True,238120960,507510784,0.012972999999995238,0.062499400000000094,0.08020219999999512,0.24033520000000408,0.39672680000000327,5.499820620632075,10.829584882101136,0.6902350783348083,-0.04164299741387367,0.03800453990697861,-0.00030960640287958086,0.0
v63_equal_relu_control,9,train:00006561,3,3,5,2.6455423831939697,0.9709763526916504,1.0,0.6745659708976746,0.0001,9.672686647540942,0.0,0.0,0.0,0.0,-0.0003330653707962483,0.0,-0.0002480599796399474,True,237350912,507510784,0.017698899999999185,0.08477650000000381,0.08952790000000022,0.22622679999999917,0.42016459999999967,3.152032050432027,6.585949659875036,0.6902384161949158,-0.04164299741387367,0.03800453990697861,-0.0003330653707962483,0.0
v63_equal_relu_control,10,train:00010359,3,3,3,2.5021493434906006,0.8259255290031433,1.0,0.6762237548828125,0.0001,15.575156482463871,0.0,0.0,0.0,0.0,-0.0003540019679348916,0.0,-0.00027388177113607526,True,238120960,507510784,0.014619599999996069,0.05933209999999889,0.06485099999999733,0.1789016000000032,0.3183267000000001,1.8791654956044004,10.716166874217082,0.69024258852005,-0.04164299741387367,0.03800453990697861,-0.0003540019679348916,0.0
v63_equal_relu_control,11,train:00020938,2,2,2,2.502737045288086,0.8250375986099243,1.0,0.6776995062828064,0.0001,16.037553681443836,0.0,0.0,0.0,0.0,-0.000372765091015026,0.0,-0.00029702295432798564,True,294437376,576716800,5.937214900000001,0.08077699999999766,0.07805019999999985,0.22387239999999764,0.3980493999999979,1.673890812317092,10.962144363962276,0.6902471780776978,-0.04164299741387367,0.03800453990697861,-0.000372765091015026,0.0
