seed,variant,step,original_row_id,loss_total,loss_classifier,loss_box_reg,loss_centerness,learning_rate,global_gradient_norm,ir_alignment_gradient_norm,event_alignment_gradient_norm,ir_theta_max_abs_deviation,ir_determinant_mean,ir_grid_oob_fraction,event_theta_max_abs_deviation,event_determinant_mean,event_grid_oob_fraction,finite,cuda_allocated_bytes,cuda_reserved_bytes,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,step_time_sec
2,alignment_on_equal,1,train:00019101,2.8804917335510254,1.1944063901901245,0.9982794523239136,0.6878057718276978,0.0001,19.930728840587072,15.160812100321664,2.095667132151201,0.0,1.0,0.0,0.0,1.0,0.0,True,130311680,329252864,0.022630600000411505,0.12487460000011197,0.1265229000000545,0.346435599999495,0.6261881999998877
2,alignment_on_equal,2,train:00030874,0.011866895481944084,0.011866895481944084,0.0,0.0,0.0001,0.544818409786374,0.05425188444276537,0.010739819229633936,0.001354834996163845,0.9999963045120239,0.0,0.0013848543167114258,0.9999961853027344,0.0,True,130311680,394264576,0.03239269999994576,0.10821739999937563,0.1278617000007216,0.2779148999998142,0.5303205999998681
2,alignment_on_equal,3,train:00031808,0.012798337265849113,0.012798337265849113,0.0,0.0,0.0001,0.6086268091676758,0.025394456511050358,0.008457263995470083,0.0022903208155184984,0.9999904036521912,0.0,0.0023058652877807617,1.0000070333480835,0.0,True,130311680,394264576,0.018844799999897077,0.08271719999993365,0.10585790000004636,0.2942173000001276,0.5039603999994142
2,alignment_on_equal,4,train:00013294,0.011467274278402328,0.011467274278402328,0.0,0.0,0.0001,0.5297192330801008,0.03723572948686696,0.004285178577111056,0.002948929788544774,0.9999813437461853,0.0,0.003026127815246582,1.00002121925354,0.0,True,130311680,394264576,0.015581399999973655,0.09908919999998034,0.11474420000013197,0.29211100000065926,0.5231999000006908
2,alignment_on_equal,5,train:00015771,2.984440803527832,1.1808942556381226,1.1406008005142212,0.6629458665847778,0.0001,114.29286574031185,36.05076282757353,16.541281700359683,0.003609679639339447,0.9999790191650391,0.0,0.0036056041717529297,1.0000308752059937,0.0,True,130311680,394264576,0.014590199999474862,0.09372639999946841,0.10905640000055428,0.28601509999953123,0.5051296000001457
2,alignment_on_equal,6,train:00008134,3.0721023082733154,1.1328010559082031,1.2659204006195068,0.6733807921409607,0.0001,67.16927005394211,47.97223609170736,10.629978613528431,0.004373157862573862,1.000082015991211,0.0,0.004386186599731445,1.0015908479690552,0.0,True,130311680,394264576,0.013495700000021316,0.09023849999994127,0.10508119999940391,0.2610853000005591,0.4716036999998323
2,alignment_on_equal,7,train:00000099,2.693971872329712,1.0608229637145996,0.8777393102645874,0.7554095983505249,0.0001,76.37338773318811,58.002567396973625,9.6798533894566,0.004797007888555527,1.00087308883667,0.0,0.005183219909667969,1.0032943487167358,0.0,True,130311680,394264576,0.014638199999353674,0.08988540000063949,0.11558590000004187,0.2913654999993014,0.5132168000000092
2,alignment_on_equal,8,train:00020531,0.030266400426626205,0.030266400426626205,0.0,0.0,0.0001,1.9864894530096429,0.08380659829500274,0.05861680382289123,0.004448453430086374,1.00229012966156,0.0,0.0050362348556518555,1.003698706626892,0.0,True,130311680,394264576,0.016517000000021653,0.07922559999951773,0.1050506999999925,0.26878880000003846,0.470823399999972
2,alignment_on_equal,9,train:00024558,0.04178139194846153,0.04178139194846153,0.0,0.0,0.0001,3.1005243310396007,0.2599551954479695,0.056811193317809976,0.0047512054443359375,1.003577709197998,0.0,0.004980206489562988,1.004089117050171,0.0,True,130311680,394264576,0.014992000000347616,0.08508679999977176,0.11901070000021718,0.2877389999994193,0.508629199999632
2,alignment_on_equal,10,train:00016604,2.4400930404663086,0.9996333718299866,0.7488909959793091,0.6915684938430786,0.0001,100.00496875572004,58.817388948019584,3.736295266541161,0.005280494689941406,1.0046494007110596,0.0,0.0050048828125,1.0045292377471924,0.0,True,130311680,394264576,0.016002800000023853,0.08002649999980349,0.10901790000025358,0.2893668999995498,0.49611519999962184
2,alignment_on_equal,11,train:00031863,0.069319948554039,0.069319948554039,0.0,0.0,0.0001,5.537791850204096,0.3908008051223284,0.10255782316552421,0.005775928497314453,1.0057872533798218,0.0,0.004934906959533691,1.0048335790634155,0.0,True,130311680,394264576,0.03683000000000902,0.09555700000055367,0.10852309999972931,0.28132710000045336,0.5028807000007873
2,alignment_on_equal,12,train:00006738,0.06854601204395294,0.06854601204395294,0.0,0.0,0.0001,5.466700983122434,0.22112207428612937,0.09798026319121413,0.006072998046875,1.0066344738006592,0.0,0.005034089088439941,1.0052615404129028,0.0,True,130311680,394264576,0.0174816999997347,0.07653499999923952,0.11381490000076155,0.3093163999992612,0.5191428999996788
2,alignment_on_equal,13,train:00000909,2.9477925300598145,0.9827892780303955,1.252008080482483,0.712995171546936,0.0001,74.66452717853062,26.218296365979523,17.64833120529387,0.006473422050476074,1.0075290203094482,0.0,0.0049326419830322266,1.0054149627685547,0.0,True,130311680,394264576,0.01357940000070812,0.08640780000041559,0.10857039999973495,0.2801956000002974,0.490447199999835
2,alignment_on_equal,14,train:00025838,2.6416499614715576,0.966378927230835,0.9868459105491638,0.6884250640869141,0.0001,45.04272063390834,22.876169896660063,7.554450476559425,0.00750124454498291,1.0091804265975952,0.0,0.005435824394226074,1.0064051151275635,0.0,True,130311680,394264576,0.014695400000164227,0.08628570000018954,0.11319889999958832,0.30399039999974775,0.5198506999995516
2,alignment_on_equal,15,train:00000874,2.22357439994812,0.9341357946395874,0.6598508358001709,0.6295877695083618,0.0001,77.0935434096938,45.781832315838216,19.83868831658055,0.007236123085021973,1.0093010663986206,0.0,0.005775928497314453,1.0071320533752441,0.0,True,130311680,394264576,0.014286200000242388,0.07833480000044801,0.11316029999943567,0.27585280000039347,0.4840934000003472
