cluster_id,family,pair_count,node_count,validation_node_count,train_node_count,min_id_distance,lexical_min_sample_id,pair_ids,sample_ids
fpc_0028,nframe,1,2,1,1,1,nframe_02527,fp_0126,nframe_02527|nframe_02528
fpc_0029,nframe,6,7,6,1,1,nframe_02529,fp_0127|fp_0128|fp_0180|fp_0209|fp_0229|fp_0247,nframe_02529|nframe_02530|nframe_02531|nframe_02532|nframe_02533|nframe_02534|nframe_02535
fpc_0030,nframe,5,6,5,1,1,nframe_02536,fp_0129|fp_0181|fp_0210|fp_0230|fp_0248,nframe_02536|nframe_02537|nframe_02538|nframe_02539|nframe_02540|nframe_02541
fpc_0031,nframe,5,6,5,1,1,nframe_02549,fp_0130|fp_0182|fp_0211|fp_0231|fp_0249,nframe_02549|nframe_02550|nframe_02551|nframe_02552|nframe_02553|nframe_02554
fpc_0032,nframe,4,5,4,1,1,nframe_02555,fp_0131|fp_0183|fp_0212|fp_0232,nframe_02555|nframe_02556|nframe_02557|nframe_02558|nframe_02559
fpc_0033,nframe,1,2,1,1,1,nframe_02768,fp_0132,nframe_02768|nframe_02769
fpc_0034,nframe,1,2,1,1,1,nframe_03331,fp_0133,nframe_03331|nframe_03332
fpc_0035,nframe,2,3,2,1,1,nframe_03389,fp_0134|fp_0184,nframe_03389|nframe_03390|nframe_03391
fpc_0036,nframe,2,3,2,1,1,nframe_03392,fp_0135|fp_0185,nframe_03392|nframe_03393|nframe_03394
fpc_0037,nframe,1,2,1,1,1,nframe_03395,fp_0136,nframe_03395|nframe_03396
fpc_0038,nframe,1,2,1,1,1,nframe_03397,fp_0137,nframe_03397|nframe_03398
fpc_0039,nframe,3,4,3,1,1,nframe_03399,fp_0138|fp_0186|fp_0213,nframe_03399|nframe_03400|nframe_03401|nframe_03402
fpc_0040,nframe,3,4,3,1,1,nframe_03403,fp_0139|fp_0187|fp_0214,nframe_03403|nframe_03404|nframe_03405|nframe_03406
fpc_0041,nframe,2,3,2,1,1,nframe_03409,fp_0140|fp_0188,nframe_03409|nframe_03410|nframe_03411
fpc_0042,nframe,1,2,1,1,1,nframe_03412,fp_0141,nframe_03412|nframe_03413
fpc_0043,nframe,16,17,16,1,1,nframe_03420,fp_0142|fp_0189|fp_0215|fp_0233|fp_0250|fp_0264|fp_0275|fp_0284|fp_0291|fp_0298|fp_0306|fp_0315|fp_0324|fp_0332|fp_0340|fp_0348,nframe_03420|nframe_03421|nframe_03422|nframe_03423|nframe_03424|nframe_03425|nframe_03426|nframe_03427|nframe_03428|nframe_03429|nframe_03430|nframe_03431|nframe_03432|nframe_03433|nframe_03434|nframe_03435|nframe_03436
fpc_0044,nframe,16,17,16,1,1,nframe_03471,fp_0143|fp_0190|fp_0216|fp_0234|fp_0251|fp_0265|fp_0276|fp_0285|fp_0292|fp_0299|fp_0307|fp_0316|fp_0325|fp_0333|fp_0341|fp_0349,nframe_03471|nframe_03472|nframe_03473|nframe_03474|nframe_03475|nframe_03476|nframe_03477|nframe_03478|nframe_03479|nframe_03480|nframe_03481|nframe_03482|nframe_03483|nframe_03484|nframe_03485|nframe_03486|nframe_03487
fpc_0045,nframe,16,17,16,1,1,nframe_03489,fp_0144|fp_0191|fp_0217|fp_0235|fp_0252|fp_0266|fp_0277|fp_0286|fp_0293|fp_0300|fp_0308|fp_0317|fp_0326|fp_0334|fp_0342|fp_0350,nframe_03489|nframe_03490|nframe_03491|nframe_03492|nframe_03493|nframe_03494|nframe_03495|nframe_03496|nframe_03497|nframe_03498|nframe_03499|nframe_03500|nframe_03501|nframe_03502|nframe_03503|nframe_03504|nframe_03505
fpc_0046,nframe,1,2,1,1,1,nframe_04425,fp_0145,nframe_04425|nframe_04426
fpc_0047,nframe,16,17,16,1,1,nframe_04745,fp_0146|fp_0192|fp_0218|fp_0236|fp_0253|fp_0267|fp_0278|fp_0287|fp_0294|fp_0301|fp_0309|fp_0318|fp_0327|fp_0335|fp_0343|fp_0351,nframe_04745|nframe_04746|nframe_04747|nframe_04748|nframe_04749|nframe_04750|nframe_04751|nframe_04752|nframe_04753|nframe_04754|nframe_04755|nframe_04756|nframe_04757|nframe_04758|nframe_04759|nframe_04760|nframe_04761
fpc_0048,nframe,11,12,11,1,1,nframe_04763,fp_0147|fp_0193|fp_0219|fp_0237|fp_0254|fp_0310|fp_0319|fp_0328|fp_0336|fp_0344|fp_0352,nframe_04763|nframe_04764|nframe_04765|nframe_04766|nframe_04767|nframe_04768|nframe_04774|nframe_04775|nframe_04776|nframe_04777|nframe_04778|nframe_04779
fpc_0049,nframe,1,2,1,1,1,nframe_05544,fp_0148,nframe_05544|nframe_05545
fpc_0050,nframe,1,2,1,1,1,nframe_05548,fp_0149,nframe_05548|nframe_05549
fpc_0051,nframe,1,2,1,1,1,nframe_06577,fp_0150,nframe_06577|nframe_06578
fpc_0052,nframe,1,2,1,1,1,nframe_06579,fp_0151,nframe_06579|nframe_06580
fpc_0053,nframe,1,2,1,1,1,nframe_06669,fp_0152,nframe_06669|nframe_06670
fpc_0054,nframe,1,2,1,1,1,nframe_06671,fp_0153,nframe_06671|nframe_06672
fpc_0055,nframe,14,15,14,1,1,nframe_06794,fp_0154|fp_0194|fp_0220|fp_0238|fp_0255|fp_0268|fp_0279|fp_0302|fp_0311|fp_0320|fp_0329|fp_0337|fp_0345|fp_0353,nframe_06794|nframe_06795|nframe_06796|nframe_06797|nframe_06798|nframe_06799|nframe_06800|nframe_06803|nframe_06804|nframe_06805|nframe_06806|nframe_06807|nframe_06808|nframe_06809|nframe_06810
fpc_0056,nframe,1,2,1,1,1,nframe_07008,fp_0155,nframe_07008|nframe_07009
fpc_0057,nframe,1,2,1,1,1,nframe_07010,fp_0156,nframe_07010|nframe_07011
fpc_0058,nframe,12,13,12,1,1,nframe_07344,fp_0157|fp_0195|fp_0221|fp_0239|fp_0256|fp_0269|fp_0280|fp_0288|fp_0295|fp_0303|fp_0312|fp_0321,nframe_07344|nframe_07345|nframe_07346|nframe_07347|nframe_07348|nframe_07349|nframe_07350|nframe_07351|nframe_07352|nframe_07353|nframe_07354|nframe_07355|nframe_07356
fpc_0059,nframe,2,3,2,1,1,nframe_07357,fp_0158|fp_0196,nframe_07357|nframe_07358|nframe_07359
fpc_0060,nframe,2,3,2,1,1,nframe_07788,fp_0159|fp_0197,nframe_07788|nframe_07789|nframe_07790
fpc_0061,nframe,1,2,1,1,1,nframe_07795,fp_0160,nframe_07795|nframe_07796
fpc_0062,nframe,2,3,2,1,1,nframe_07833,fp_0161|fp_0198,nframe_07833|nframe_07834|nframe_07835
fpc_0063,nframe,8,9,8,1,1,nframe_07836,fp_0162|fp_0163|fp_0199|fp_0222|fp_0240|fp_0257|fp_0270|fp_0281,nframe_07836|nframe_07837|nframe_07838|nframe_07839|nframe_07840|nframe_07841|nframe_07842|nframe_07843|nframe_07844
fpc_0064,nframe,1,2,1,1,1,nframe_07911,fp_0164,nframe_07911|nframe_07912
fpc_0065,nframe,1,2,1,1,1,nframe_07913,fp_0165,nframe_07913|nframe_07914
fpc_0066,nframe,2,3,2,1,1,nframe_09360,fp_0166|fp_0200,nframe_09360|nframe_09361|nframe_09362
fpc_0067,nframe,1,2,1,1,1,nframe_09363,fp_0167,nframe_09363|nframe_09364
fpc_0068,nframe,1,2,1,1,1,nframe_09432,fp_0168,nframe_09432|nframe_09433
fpc_0069,nframe,1,2,1,1,1,nframe_09434,fp_0169,nframe_09434|nframe_09435
fpc_0070,nframe,2,3,2,1,1,nframe_09894,fp_0170|fp_0201,nframe_09894|nframe_09895|nframe_09896
