table_or_figure,variant,seed,condition,metric,v22_value,v23_value,absolute_difference,reason_for_change
Table 3 / Fig. 3,R4 Reliability p=0.20,2,full,recall,0.917514,0.9175135501355014,4.4986449865280775e-07,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R4 Reliability p=0.20,2,full,f1,0.912107,0.9121064152214179,5.847785821133655e-07,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R4 Reliability p=0.20,2,full,ap50,0.959977,0.9603855013847351,0.0004085013847351382,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 3 / Fig. 3,R4 Reliability p=0.20,2,full,ap75,0.887513,0.8881215453147888,0.000608545314788822,detector-output threshold standardized to 0.001; operating threshold kept at 0.50
Table 4 / Fig. 4,R1 Reliability p=0.00,0,w/o RGB,ap50,0.673004,0.6730044484138489,4.484138488303202e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R1 Reliability p=0.00,0,w/o Thermal,ap50,0.328742,0.32874244451522827,4.4451522829280776e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R1 Reliability p=0.00,0,w/o Event,ap50,0.42556,0.4255604147911072,4.1479110718389833e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R1 Reliability p=0.00,2,w/o RGB,ap50,0.752975,0.7529745697975159,4.302024840807661e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R1 Reliability p=0.00,2,w/o Thermal,ap50,0.332811,0.3328113257884979,3.257884979013248e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R1 Reliability p=0.00,2,w/o Event,ap50,0.71188,0.711879551410675,4.4858932490843273e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R2 Reliability p=0.15,0,w/o RGB,ap50,0.911342,0.9113417267799377,2.7322006224128614e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R2 Reliability p=0.15,0,w/o Thermal,ap50,0.682321,0.6823210120201111,1.2020111128663302e-08,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R2 Reliability p=0.15,0,w/o Event,ap50,0.961223,0.9612230658531189,6.585311884688139e-08,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R2 Reliability p=0.15,2,w/o RGB,ap50,0.904481,0.9044808149337769,1.8506622312397525e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R2 Reliability p=0.15,2,w/o Thermal,ap50,0.658199,0.6581994891166687,4.891166687226445e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R2 Reliability p=0.15,2,w/o Event,ap50,0.955474,0.9554735422134399,4.577865601040898e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R4 Reliability p=0.20,0,w/o RGB,ap50,0.923708,0.9237081408500671,1.4085006716513249e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R4 Reliability p=0.20,0,w/o Thermal,ap50,0.729869,0.7298694849014282,4.849014282326536e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R4 Reliability p=0.20,0,w/o Event,ap50,0.963677,0.9636772871017456,2.871017455996494e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R4 Reliability p=0.20,2,w/o RGB,ap50,0.908394,0.908394455909729,4.559097289691394e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R4 Reliability p=0.20,2,w/o Thermal,ap50,0.706685,0.7066850066184998,6.618499748256568e-09,missing-modality AP recomputed from detector-output threshold 0.001 candidates
Table 4 / Fig. 4,R4 Reliability p=0.20,2,w/o Event,ap50,0.959476,0.9594763517379761,3.5173797607868096e-07,missing-modality AP recomputed from detector-output threshold 0.001 candidates


