variant,run_id,seed,condition,manuscript_condition,precision,recall,f1,ap50,ap75,gt_boxes,predictions,mean_confidence,detector_score_thr,metric_score_thr,nms_thresh,detections_per_img,checkpoint_path,checkpoint_sha256,split_path,split_sha256,runtime_seconds,fps,gpu,cuda,pytorch,git_commit
R1 Reliability p=0.00,R1_seed2,2,no_event,true,0.8604060913705583,0.5167682926829268,0.6457142857142857,0.711879551410675,0.455550879240036,5904,3546,0.7291630007961142,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed2_block64g16_e50\weights\best.pt,9da3814ff154db235bbe2bba558b0934ef20e12c1c0a8aa63998c6c7e3bd7821,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.66769766807556,28.493183993396897,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed2,2,rgb_only,false,0.8084789884715508,0.3682249322493225,0.505993250320028,0.42337554693222046,0.2833400368690491,5904,2689,0.7437545754245419,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed2_block64g16_e50\weights\best.pt,9da3814ff154db235bbe2bba558b0934ef20e12c1c0a8aa63998c6c7e3bd7821,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.0175940990448,28.36539662054376,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed2,2,thermal_only,false,0.8701529704731412,0.41429539295392953,0.5613310384394722,0.6018693447113037,0.3702876567840576,5904,2811,0.7037068296267612,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed2_block64g16_e50\weights\best.pt,9da3814ff154db235bbe2bba558b0934ef20e12c1c0a8aa63998c6c7e3bd7821,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.0459668636322,28.355084688318623,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R1 Reliability p=0.00,R1_seed2,2,event_only,false,0.9166666666666666,0.0018631436314363143,0.0037187288708586883,0.021948622539639473,0.0009735393105074763,5904,12,0.5967240383227667,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R1_reliability_p000_seed2_block64g16_e50\weights\best.pt,9da3814ff154db235bbe2bba558b0934ef20e12c1c0a8aa63998c6c7e3bd7821,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.7803156375885,28.451928767058572,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed0,0,full,true,0.9067967698519516,0.912940379403794,0.9098582039162728,0.9623881578445435,0.900086522102356,5904,5944,0.7654205581942927,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed0_block64g16_e50\weights\best.pt,af7cf07f309bdce1da370f48fae55039afefbe0bb50d90738d9150c74ae3872e,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.36118054389954,28.241024250014103,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed0,0,no_rgb,true,0.8356954515491101,0.8589092140921409,0.847143334447043,0.9113417267799377,0.7525312304496765,5904,6068,0.7240155358198999,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed0_block64g16_e50\weights\best.pt,af7cf07f309bdce1da370f48fae55039afefbe0bb50d90738d9150c74ae3872e,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.2015290260315,28.2986794192137,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed0,0,no_thermal,true,0.8528464017185822,0.537940379403794,0.6597424179476526,0.6823210120201111,0.3784500062465668,5904,3724,0.6854205194592604,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed0_block64g16_e50\weights\best.pt,af7cf07f309bdce1da370f48fae55039afefbe0bb50d90738d9150c74ae3872e,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,77.54693865776062,28.537554651469545,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed0,0,no_event,true,0.9127778720515867,0.9110772357723578,0.9119267610409426,0.9612230658531189,0.8832560777664185,5904,5893,0.7577944414109502,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed0_block64g16_e50\weights\best.pt,af7cf07f309bdce1da370f48fae55039afefbe0bb50d90738d9150c74ae3872e,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.13835859298706,28.32155729719433,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed0,0,rgb_only,false,0.8506189821182943,0.5237127371273713,0.6482859838557501,0.6622436046600342,0.36550211906433105,5904,3635,0.688585326858531,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed0_block64g16_e50\weights\best.pt,af7cf07f309bdce1da370f48fae55039afefbe0bb50d90738d9150c74ae3872e,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.2673716545105,28.274873082089325,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
R2 Reliability p=0.15,R2_seed0,0,thermal_only,false,0.7849768600925596,0.7469512195121951,0.7654921020656136,0.7825735211372375,0.5674428343772888,5904,5618,0.7237768543810554,0.001,0.5,0.6,100,<LOCAL_CHECKPOINT_PATH>\R2_reliability_p015_seed0_block64g16_e50\weights\best.pt,af7cf07f309bdce1da370f48fae55039afefbe0bb50d90738d9150c74ae3872e,<LOCAL_PROJECT_ROOT>\\runs\\blocked_split_candidates\block64_guard16_seed0_val.txt,a48aff2ee29d041bd07b746947028191475a59f0df6b7b64d4882cd610746dc4,78.17263197898865,28.309140219237,NVIDIA GeForce RTX 3090,12.4,2.5.1,693277e7691eb553312754390569482d6aaa2686
