group,run,model,seed,dropout,precision,recall,f1,ap50,ap75,gt_boxes,predictions,mean_confidence,fps,runtime_seconds,checkpoint_sha256
early,early_seed0_e50,early,0,NA,0.8462494176114304,0.9187320856516608,0.8810024252223121,0.9420903921127319,0.8077049851417542,5931,6439,0.7527323524521308,25.212369999730193,87.77437424659729,0990440f2be34762132949e50340c120697d73e5f86be9e5bc29fd609ec388b2
early,early_seed2_e50,early,2,NA,0.808695652173913,0.9094587759231159,0.8561225299579399,0.9348224401473999,0.7817359566688538,5931,6670,0.7380485869597817,26.43548458348283,83.71323752403259,278892c5b10b7a4a77ad3773214b141c50daf11f147ba1a8920e58087d6ab8e8
reliability_p000,reliability_p000_seed0_e50,reliability,0,0.00,0.9195202503041892,0.8919237902545945,0.905511811023622,0.9534019231796265,0.8790411949157715,5931,5753,0.7439914377030343,24.227242981126608,91.34345173835754,7e2a8dc1ec3c8564f5b4dd9ac62d773b53e5ceed36ad447587efe6694d769150
reliability_p000,reliability_p000_seed2_e50,reliability,2,0.00,0.930882092982146,0.8878772551003203,0.9088712461166724,0.9551072120666504,0.8721054792404175,5931,5657,0.7641245075306413,10.8011369332969,204.88583874702454,7e3a7f8b04717a1d2dbfc2292894f734eebb069daf98d878ece5f3340e4f5724
reliability_p015,reliability_p015_seed0_e50,reliability,0,0.15,0.911096256684492,0.9192379025459451,0.9151489718841797,0.9592061042785645,0.8942850828170776,5931,5984,0.7918805581801397,10.29195438352204,215.02232885360718,31f3d9bcd42753cda0e9206f893c1371f71a660cd7d1d3fd846e2c317771c443
reliability_p015,reliability_p015_seed2_e50,reliability,2,0.15,0.8961713173264114,0.9313775080087675,0.9134353038445638,0.9611957669258118,0.8648717403411865,5931,6164,0.7369794403574514,10.40689038426812,212.64757466316223,c43c45674146b50153564def0ea31780a3dbc2a9f28f64e6a10f19d40f5fe848
MEAN,early,early,0+2,NA,0.8274725348926717,0.9140954307873883,0.8685624775901260,0.9384564161300659,0.7947204709053040,5931,6554.5,0.7453904697059562,25.823927291606511,85.74380588531494,NA
MEAN,reliability_p000,reliability,0+2,0.00,0.9252011716431676,0.8899005226774574,0.9071915285701472,0.9542545676231384,0.8755733370780945,5931,5705,0.7540579726168378,17.514189957211754,148.11464524269104,NA
MEAN,reliability_p015,reliability,0+2,0.15,0.9036337870054517,0.9253077052773563,0.9142921378643718,0.9602009356021881,0.8795784115791321,5931,6074,0.7644299992687956,10.34942238389508,213.83495175838470,NA
