step,original_row_id,loss_total,loss_classifier,loss_box_reg,loss_centerness,learning_rate,global_gradient_norm,ir_alignment_gradient_norm,event_alignment_gradient_norm,ir_theta_mean,ir_theta_std,ir_theta_min,ir_theta_max,ir_theta_max_abs_deviation,ir_determinant_mean,ir_grid_oob_fraction,event_theta_mean,event_theta_std,event_theta_min,event_theta_max,event_theta_max_abs_deviation,event_determinant_mean,event_grid_oob_fraction,finite,cuda_allocated_bytes,cuda_reserved_bytes,data_time_sec,forward_time_sec,backward_time_sec,optimizer_time_sec,step_time_sec
1,train:00006249,2.7680788040161133,1.096762776374817,1.0,0.6713161468505859,0.0001,25.38805818356968,21.116538074145023,1.7441769219153356,0.3333333432674408,0.4714045226573944,0.0,1.0,0.0,1.0,0.0,0.3333333432674408,0.4714045226573944,0.0,1.0,0.0,1.0,0.0,True,130360832,329252864,0.18253599999999892,0.07617139999999978,0.11425609999999864,0.6059560000000026,0.9808276000000014
2,train:00020601,2.9520363807678223,1.0468884706497192,1.2073549032211304,0.6977930068969727,0.0001,93.93098921403498,57.30200425523224,17.040566446230294,0.33291131258010864,0.47080880403518677,-0.0012661406071856618,0.9987338781356812,0.0012661406071856618,0.9974677562713623,0.0,0.3342200219631195,0.471718966960907,-0.0013300060527399182,1.001330018043518,0.0013300180435180664,1.0026636123657227,0.0,True,130360832,394264576,0.1963398000000005,0.10715339999999784,0.12321419999999961,0.39846119999999985,0.7421807999999999
3,train:00026508,0.03139461576938629,0.03139461576938629,0.0,0.0,0.0001,1.5876950323118437,0.036423653158554246,0.015633152680407943,0.332952618598938,0.4705049991607666,-0.002334961900487542,0.9990535974502563,0.002496287925168872,0.9966861009597778,0.0,0.33435606956481934,0.47169530391693115,-0.0008977914112620056,1.0024536848068237,0.0024536848068237305,1.002865195274353,0.0,True,130360832,394264576,0.049274000000000484,0.07879179999999764,0.1227468000000016,0.4155616999999978,0.6674380999999983
4,train:00028488,2.6572749614715576,1.010194182395935,0.9947344660758972,0.6523463726043701,0.0001,20.921191375479037,13.52841486418298,3.0864492088763713,0.33299702405929565,0.47029367089271545,-0.003130165161564946,0.9993588924407959,0.0034107647370547056,0.9961708784103394,0.0,0.33444422483444214,0.47167253494262695,-0.0005554798408411443,1.0032641887664795,0.003264188766479492,1.0029710531234741,0.0,True,130360832,394264576,0.029068300000002267,0.0993025000000003,0.12904289999999818,0.42316330000000235,0.682222000000003
5,train:00011701,0.041797153651714325,0.041797153651714325,0.0,0.0,0.0001,2.4321037513401773,0.16880556412992895,0.02886313280096333,0.3329104781150818,0.47033050656318665,-0.003957302775233984,0.999952495098114,0.003957302775233984,0.9960932731628418,0.0,0.3345562219619751,0.4717675447463989,-0.0008843760006129742,1.0042779445648193,0.004277944564819336,1.0034562349319458,0.0,True,130360832,394264576,0.03234559999999931,0.09558249999999902,0.11616840000000295,0.4243752999999977,0.6741438999999971
6,train:00005808,2.598909854888916,0.9562379717826843,1.0,0.6426718235015869,0.0001,12.967706926370232,4.356792719297298,1.5108008883495676,0.33283692598342896,0.47036150097846985,-0.0046684397384524345,1.0004712343215942,0.0046684397384524345,0.9960244297981262,0.0,0.33463770151138306,0.47184690833091736,-0.001273475238122046,1.0050972700119019,0.0050972700119018555,1.003835678100586,0.0,True,130360832,394264576,0.0363749999999996,0.08323349999999863,0.11759910000000318,0.43268619999999913,0.6710688000000005
7,train:00017015,2.6384084224700928,0.9490369558334351,0.9911243915557861,0.6982470750808716,0.0001,44.11542492729532,23.55852762189675,2.230591792103812,0.3327399492263794,0.47033655643463135,-0.005084959790110588,1.0007283687591553,0.005084959790110588,0.9957516193389893,0.0,0.3347285985946655,0.47197672724723816,-0.001679945271462202,1.0060641765594482,0.006064176559448242,1.0043740272521973,0.0,True,130360832,394264576,0.1629429999999985,0.09052679999999924,0.12268239999999864,0.3693919000000001,0.7467674999999971
8,train:00005711,2.6730661392211914,0.9183624386787415,0.9977383613586426,0.7569654583930969,0.0001,18.053620333564417,8.775459318440962,1.5050756059638488,0.3327248692512512,0.47030770778656006,-0.005888108164072037,1.0011824369430542,0.005888108164072037,0.9956268072128296,0.0,0.3347418010234833,0.47217831015586853,-0.002037782920524478,1.0071114301681519,0.0071114301681518555,1.0049561262130737,0.0,True,130360832,394264576,0.0398719000000014,0.08086710000000252,0.12361949999999666,0.3914131000000012,0.6382905000000001
9,train:00006561,2.6106300354003906,0.9391552209854126,0.9998025298118591,0.6716722249984741,0.0001,10.65594858175683,6.869436246791007,0.7716589229768619,0.3326379954814911,0.4702690839767456,-0.006594516336917877,1.0013600587844849,0.006594516336917877,0.9953290224075317,0.0,0.3347223997116089,0.47230225801467896,-0.00232744705863297,1.0078381299972534,0.007838129997253418,1.005254864692688,0.0,True,130360832,394264576,0.10931439999999881,0.08041719999999941,0.10701470000000413,0.3611185999999975,0.6590279000000017
10,train:00010359,2.8280162811279297,0.827019214630127,1.3160274028778076,0.6849695444107056,0.0001,60.12248088247332,44.20154966236953,1.405763180842141,0.3326379954814911,0.47023189067840576,-0.00736413337290287,1.0016850233078003,0.00736413337290287,0.995205819606781,0.0,0.3347136676311493,0.4723913371562958,-0.0025502999778836966,1.008447289466858,0.00844728946685791,1.0054770708084106,0.0,True,130360832,394264576,0.1228837000000027,0.08469019999999716,0.10749540000000479,0.3653892999999968,0.6836885000000024
11,train:00020938,2.7529683113098145,0.8952702283859253,1.1719326972961426,0.6857653856277466,0.0001,121.83874744677165,95.598869304667,5.193780876321594,0.3326326012611389,0.4700610339641571,-0.007433333899825811,1.001509189605713,0.007433333899825811,0.9947022199630737,0.0003124999930150807,0.33466431498527527,0.47249093651771545,-0.0028716078959405422,1.0088928937911987,0.00889289379119873,1.0056500434875488,0.0,True,130360832,394264576,0.14741049999999944,0.09403179999999622,0.1036819000000051,0.363612499999995,0.693673099999998
12,train:00017395,0.21762028336524963,0.21762028336524963,0.0,0.0,0.0001,16.304406578654508,1.246797553392232,0.31391289068422856,0.33246350288391113,0.47009918093681335,-0.0078915785998106,1.0014011859893799,0.0078915785998106,0.9944669008255005,0.0003124999930150807,0.334689736366272,0.4724028408527374,-0.002926204353570938,1.009049654006958,0.009049654006958008,1.0054423809051514,0.0,True,130360832,394264576,0.10776360000000551,0.09166979999999825,0.09814080000000303,0.3817270999999991,0.6829307
13,train:00016029,0.2422018051147461,0.2422018051147461,0.0,0.0,0.0001,19.89173507060484,1.9407333478372597,0.8668844810831514,0.3322959244251251,0.4700983464717865,-0.00842556543648243,1.00128173828125,0.00842556543648243,0.9941210746765137,0.00046874998952262104,0.3347407281398773,0.4723562002182007,-0.0030416783411055803,1.0094057321548462,0.009405732154846191,1.0053991079330444,0.0026562500279396772,True,130360832,394264576,0.1399088000000006,0.09158949999999777,0.1149117000000004,0.3981430000000046,0.7470149000000035
14,train:00019870,2.579399824142456,0.8421391844749451,1.0541383028030396,0.683122456073761,0.0001,21.723916926007636,5.101868357990143,2.2858798448106947,0.33219143748283386,0.4701779782772064,-0.008614137768745422,1.0012426376342773,0.008614137768745422,0.9941372871398926,0.0003124999930150807,0.33475634455680847,0.47231969237327576,-0.003086820710450411,1.0095866918563843,0.009586691856384277,1.0053187608718872,0.004062499850988388,True,130360832,394264576,0.1527850000000015,0.08528970000000413,0.12760239999999357,0.40963550000000026,0.7768344999999997
15,train:00024793,2.640601634979248,0.9766997694969177,0.9614056348800659,0.702496349811554,0.0001,30.6937040917929,17.933191783603696,2.2025346352267126,0.33207476139068604,0.47017160058021545,-0.008883446455001831,1.0010061264038086,0.008883446455001831,0.9938833117485046,0.0003124999930150807,0.33478784561157227,0.4723583161830902,-0.003240082645788789,1.0101161003112793,0.010116100311279297,1.0054731369018555,0.007499999832361937,True,130360832,394264576,0.10610160000000235,0.07466529999999949,0.11013880000000142,0.4047608999999994,0.6969758000000041
16,train:00024693,2.668527364730835,0.9618995785713196,0.9858099818229675,0.7208178043365479,0.0001,17.344807531410428,10.17933522060422,3.6642724584612987,0.33205392956733704,0.4701290428638458,-0.009352421388030052,1.0009843111038208,0.009352421388030052,0.9937175512313843,0.00046874998952262104,0.3347763419151306,0.4722868502140045,-0.003355443011969328,1.0101245641708374,0.010124564170837402,1.005239725112915,0.007656249683350325,True,130360832,394264576,0.09887179999999773,0.09633889999999923,0.12077749999999554,0.4116299000000012,0.7288746999999987
17,train:00034122,2.6650006771087646,0.7875297665596008,1.1505006551742554,0.7269701957702637,0.0001,67.63191257264316,40.33037828958916,3.450863414989031,0.3320639133453369,0.4701189398765564,-0.009903628379106522,1.001134991645813,0.009903628379106522,0.9937034845352173,0.0007812499534338713,0.33474647998809814,0.4720832407474518,-0.0032712388783693314,1.009499430656433,0.009499430656433105,1.0046120882034302,0.003124999813735485,True,130360832,394264576,0.15809010000000256,0.08248350000000215,0.11751110000000153,0.3806621999999962,0.7408096999999998
18,train:00012078,2.627634048461914,0.9554572701454163,0.9700919985771179,0.7020846605300903,0.0001,14.143534109056795,5.899909266064186,2.904954337016344,0.33194756507873535,0.4699721038341522,-0.010478955693542957,1.000792384147644,0.010478955693542957,0.9930469989776611,0.0007812499534338713,0.3348299264907837,0.47180378437042236,-0.003180028637871146,1.0089713335037231,0.008971333503723145,1.0039947032928467,0.0,True,130360832,394264576,0.11355269999999962,0.10189870000000667,0.126911199999995,0.43088490000000235,0.7748609000000002
19,train:00030696,2.5807888507843018,0.8672060966491699,1.0025873184204102,0.7109954357147217,0.0001,46.574425395873284,9.811984563063382,2.736821832911293,0.33180397748947144,0.4698060154914856,-0.011341321282088757,1.000491738319397,0.011341321282088757,0.9922738671302795,0.0010937500046566129,0.3348049521446228,0.4715210199356079,-0.003260493976995349,1.0082131624221802,0.008553472347557545,1.0031529664993286,0.0,True,130360832,394264576,0.08458399999999955,0.0870962999999989,0.11221390000000042,0.3981909999999971,0.6836929999999981
20,train:00013586,0.07049189507961273,0.07049189507961273,0.0,0.0,0.0001,4.932438413567303,0.2830877060292455,0.058648579460524874,0.3317021429538727,0.469675749540329,-0.011700285598635674,1.000217318534851,0.011700285598635674,0.9916929006576538,0.0012499999720603228,0.3348580002784729,0.47129568457603455,-0.003077529603615403,1.0076712369918823,0.008638335391879082,1.0026295185089111,0.0,True,130360832,394264576,0.16927530000000246,0.080476400000002,0.1042691999999974,0.40648989999999685,0.7632576999999969
21,train:00034932,2.5817747116088867,0.9092455506324768,1.001574158668518,0.6709548234939575,0.0001,37.79592172021238,20.20220179586618,10.588392220751093,0.3315482437610626,0.4695541560649872,-0.012385482899844646,1.0000616312026978,0.012385482899844646,0.9910235404968262,0.0014062499394640326,0.3348945081233978,0.47109255194664,-0.0028820643201470375,1.0071073770523071,0.00862926710397005,1.0021369457244873,0.0,True,130360832,394264576,0.12734540000000294,0.0821332999999953,0.11315710000000223,0.38890630000000215,0.7135728000000015
22,train:00006464,2.5380139350891113,0.8653947114944458,0.9888076782226562,0.6838114857673645,0.0001,11.19145760896021,3.785180681982215,1.4302529050628956,0.33152860403060913,0.46952757239341736,-0.012525317259132862,0.9997872114181519,0.012525317259132862,0.9909123182296753,0.0014062499394640326,0.3348778486251831,0.4708417057991028,-0.002406601095572114,1.0063542127609253,0.008625416085124016,1.0014034509658813,0.0,True,130360832,394264576,0.1496461999999994,0.08603029999999734,0.11099360000000047,0.4174876000000012,0.7659710000000004
